Linux 5.15.0-91-generic (gl5) 	01/22/2024 	_x86_64_	(32 CPU)

08:10:22 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:10:27 AM     all      3.71      0.00      4.24      0.11      0.00     91.94
08:10:27 AM       0      0.80      0.00      4.60      0.00      0.00     94.60
08:10:27 AM       1      0.60      0.00      4.60      0.00      0.00     94.80
08:10:27 AM       2      0.40      0.00      4.81      0.00      0.00     94.79
08:10:27 AM       3      0.80      0.00      4.40      0.00      0.00     94.80
08:10:27 AM       4      1.40      0.00      3.81      0.00      0.00     94.79
08:10:27 AM       5      1.00      0.00      4.01      0.00      0.00     94.99
08:10:27 AM       6      0.60      0.00      4.60      0.00      0.00     94.80
08:10:27 AM       7      0.80      0.00      4.60      0.00      0.00     94.60
08:10:27 AM       8      1.00      0.00      4.40      0.00      0.00     94.60
08:10:27 AM       9      0.80      0.00      4.21      0.00      0.00     94.99
08:10:27 AM      10      0.80      0.00      4.40      0.00      0.00     94.80
08:10:27 AM      11      3.60      0.00      4.60      0.00      0.00     91.80
08:10:27 AM      12      0.80      0.00      4.40      0.00      0.00     94.80
08:10:27 AM      13      1.01      0.00      4.02      3.22      0.00     91.75
08:10:27 AM      14      0.40      0.00      4.61      0.00      0.00     94.99
08:10:27 AM      15      0.80      0.00      4.21      0.00      0.00     94.99
08:10:27 AM      16      1.00      0.00      4.39      0.00      0.00     94.61
08:10:27 AM      17      1.20      0.00      4.39      0.00      0.00     94.41
08:10:27 AM      18      1.20      0.00      3.61      0.00      0.00     95.18
08:10:27 AM      19      0.80      0.00      4.40      0.00      0.00     94.80
08:10:27 AM      20      1.00      0.00      4.01      0.00      0.00     94.99
08:10:27 AM      21      0.80      0.00      4.39      0.00      0.00     94.81
08:10:27 AM      22      0.60      0.00      4.40      0.00      0.00     95.00
08:10:27 AM      23      0.40      0.00      3.21      0.00      0.00     96.39
08:10:27 AM      24      1.20      0.00      4.19      0.00      0.00     94.61
08:10:27 AM      25      1.00      0.00      4.20      0.00      0.00     94.80
08:10:27 AM      26      1.20      0.00      4.38      0.00      0.00     94.42
08:10:27 AM      27      0.40      0.00      4.80      0.00      0.00     94.80
08:10:27 AM      28     89.40      0.00      1.40      0.20      0.00      9.00
08:10:27 AM      29      1.00      0.00      4.60      0.00      0.00     94.40
08:10:27 AM      30      1.20      0.00      4.41      0.00      0.00     94.39
08:10:27 AM      31      0.60      0.00      4.62      0.00      0.00     94.78

08:10:27 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:10:32 AM     all      0.87      0.00      0.20      0.76      0.00     98.17
08:10:32 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
08:10:32 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
08:10:32 AM       2      0.20      0.00      0.00      0.00      0.00     99.80
08:10:32 AM       3      0.00      0.00      0.20      0.00      0.00     99.80
08:10:32 AM       4      0.20      0.00      0.40      0.00      0.00     99.40
08:10:32 AM       5      0.00      0.00      0.00      0.00      0.00    100.00
08:10:32 AM       6      0.00      0.00      0.60      0.00      0.00     99.40
08:10:32 AM       7      0.00      0.00      0.80      0.00      0.00     99.20
08:10:32 AM       8      0.20      0.00      0.40      0.00      0.00     99.40
08:10:32 AM       9      0.00      0.00      0.00      0.00      0.00    100.00
08:10:32 AM      10      0.40      0.00      0.20      0.00      0.00     99.40
08:10:32 AM      11      0.00      0.00      0.20      0.00      0.00     99.80
08:10:32 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
08:10:32 AM      13      0.00      0.00      0.20      0.00      0.00     99.80
08:10:32 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
08:10:32 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
08:10:32 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
08:10:32 AM      17      0.40      0.00      0.60      0.00      0.00     99.00
08:10:32 AM      18      0.40      0.00      0.40      0.00      0.00     99.20
