Linux 5.15.0-91-generic (gl5) 	01/19/2024 	_x86_64_	(32 CPU)

12:06:58 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
12:07:03 PM 383815964 390373656   1590084      0.40   1215148   6919380   4655564      1.15   3775576   4905140       396    574484   1317972     10720      5948    268400
12:07:08 PM 383773864 390335464   1624544      0.41   1215160   6923168  33356740      8.27   3777112   4978704      1596    645928   1321812     10624     10292    267888
12:07:13 PM 383855188 390418892   1543820      0.39   1215168   6925296   4182448      1.04   3778596   4907960       336    574412   1319076      9776      5968    267584
12:07:18 PM 383848456 390413976   1549008      0.39   1215180   6927032   4182836      1.04   3778700   4910228      1412    575008   1318872      9712      5872    267504
12:07:23 PM 383850740 390418444   1544792      0.39   1215184   6929080   4182968      1.04   3778764   4912320       292    575132   1318752      9712      5876    267504
12:07:28 PM 383844044 390413572   1549892      0.39   1215184   6930824   4182968      1.04   3778764   4913992      1428    575052   1318604      9728      5876    267440
12:07:33 PM 383845676 390417200   1546268      0.39   1215188   6932716   4187240      1.04   3778812   4918136       348    577320   1318700      9744      5988    267448
12:07:38 PM 383854332 390427956   1535516      0.39   1215196   6934720   4186872      1.04   3778856   4919576      1380    576952   1318784      9728      6004    267464
12:07:43 PM 383856116 390431964   1531668      0.39   1215200   6936784   4183100      1.04   3778892   4919992       404    575140   1318780      9648      5812    267456
12:07:48 PM 383852880 390430960   1533188      0.39   1215208   6938920   4183100      1.04   3778900   4922164      1384    575248   1318352      9712      5908    267472
12:07:53 PM 383855584 390435712   1528448      0.39   1215216   6940836   4183100      1.04   3778948   4924116       204    575264   1318464      9680      5812    267456
12:07:58 PM 383848180 390430384   1533624      0.39   1215224   6942772   4183232      1.04   3778996   4925984      1164    575276   1318748      9648      5816    267456
12:08:03 PM 383848284 390432700   1531304      0.39   1215232   6944796   4183232      1.04   3779000   4928032       188    575244   1318932      9664      5812    267440
12:08:08 PM 383842036 390428044   1535772      0.39   1215236   6946320   4183232      1.04   3779028   4929596       904    575268   1319184      9904      6156    267488
12:08:13 PM 383841696 390430296   1533596      0.39   1215244   6948744   4187640      1.04   3779096   4934316       336    577736   1319268      9712      6000    267512
12:08:18 PM 383835068 390425748   1538184      0.39   1215248   6950752   4187272      1.04   3779068   4934696       624    576468   1319296     10016      6084    267480
12:08:23 PM 383834512 390426932   1536972      0.39   1215260   6952432   4183368      1.04   3779140   4935996       532    575796   1319372      9728      5940    267440
12:08:28 PM 383359584 389954924   2004400      0.51   1215264   6955236  77869420     19.31   3780236   5442472      1516   1080728   1324064     10176     18844    267680
12:08:33 PM 383324076 389922028   2037236      0.52   1215264   6957816  97567536     24.20   3780512   5471012      2624   1106988   1324156     10208     20228    267888
12:08:38 PM 383379776 389979072   1980076      0.50   1215264   6959164  86323304     21.41   3781164   5433212      2056   1068660   1324268     10240     18776    267848
12:08:43 PM 383366768 389969348   1989740      0.50   1215272   6962360  91065120     22.58   3781508   5433048      5136   1065508   1324408     10240     19516    267856
12:08:48 PM 383324716 389929948   2029712      0.51   1215276   6965000  94746320     23.50   3781896   5466912      2948   1097456   1323844     10224     19784    267800
12:08:53 PM 383358600 389966548   1992692      0.50   1215284   6967704  84538552     20.96   3782092   5409948      4200   1037564   1324268     10224     18036    267872
12:08:58 PM 383287740 389897492   2061216      0.52   1215288   6969556  97568760     24.20   3782512   5490444      3664   1116912   1324748     10224     20308    267896
12:09:03 PM 383304444 389916616   2041624      0.52   1215296   6971980  80669272     20.00   3782744   5443444      3788   1067716   1325204     10240     18384    267856
12:09:08 PM 383266296 389881320   2078228      0.53   1215300   6974800  93893272     23.28   3783112   5463896      3280   1085608   1323924     10224     19340    267872
12:09:13 PM 383277884 389895132   2064200      0.52   1215312   6977060  93854848     23.27   3783448   5466916      4416   1086672   1324092     10208     19708    267872
12:09:18 PM 383282120 389902124   2057256      0.52   1215316   6979808  91044960     22.58   3783744   5469520      3368   1085896   1324048     10240     19300    267872
12:09:23 PM 383261816 389883988   2075556      0.53   1215324   6981936  93876900     23.28   3784144   5469724      4408   1085300   1323916     10336     19888    267960
12:09:28 PM 383314024 389939224   2020500      0.51   1215332   6984968  90182608     22.36   3784404   5442432      3160   1055148   1323724     10240     19272    267872
12:09:33 PM 383295004 389922056   2036800      0.52   1215340   6986752  88243456     21.88   3784692   5472336      4156   1083988   1324652     10256     19444    267896
12:09:38 PM 383285560 389914900   2044556      0.52   1215352   6989188  96016652     23.81   3785044   5476148      3068   1084932   1323892     10304     19664    267872
12:09:43 PM 383342292 389974272   1985376      0.50   1215360   6991768  84540924     20.97   3785356   5426208      3428   1033184   1323752     10240     18700    267888
12:09:48 PM 383284816 389919288   2039976      0.52   1215372   6994152  91057720     22.58   3785652   5479884      2844   1084620   1324232     10288     19808    267960
12:09:53 PM 383234284 389871168   2088284      0.53   1215380   6996452  97581436     24.20   3786032   5517308      3984   1119872   1324148     10480     20464    267992
12:09:58 PM 383321320 389960732   1999672      0.51   1215392   6999124  80852088     20.05   3786320   5421472      2736   1021364   1323040     10288     18516    267936
12:10:03 PM 383279304 389921076   2038204      0.52   1215400   7001392  91047616     22.58   3786592   5468488      4040   1066924   1324248     10416     19160    267968
12:10:08 PM 383212076 389855752   2103492      0.53   1215412   7003224  97552616     24.19   3786952   5518640      3068   1115700   1324344     10336     19836    267984
12:10:13 PM 383312256 389959024   2000716      0.51   1215416   7006272  83657864     20.75   3787252   5426780      2564   1020980   1323888     10256     18444    267824
12:10:18 PM 383224552 389873380   2086312      0.53   1215440   7008276  94756528     23.50   3787608   5521856      2992   1114356   1323968     10288     19820    267960
12:10:23 PM 383219528 389870624   2089132      0.53   1215448   7010528  97556552     24.19   3787964   5529944      3644   1120720   1323912     10336     20388    267888
12:10:28 PM 383257552 389911244   2047712      0.52   1215456   7013040  87359112     21.66   3788196   5463024      4448   1050760   1324788     10320     19032    267856
