Linux 5.15.30-2-pve (superserver2) 	01/27/2024 	_x86_64_	(32 CPU)

04:25:31 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
04:29:21 AM 323810984 389058836   2600740      0.66    857096  64785688  53301156     13.22  42431204  24355276      1432   1310040   2819276      9984     16932    861720
04:29:26 AM 323814136 389063428   2596444      0.66    857096  64787084  53313692     13.22  42431428  24353880      1588   1307504   2819024      9984     16900    861688
04:29:31 AM 323846700 389097104   2561932      0.65    857096  64788196  49603984     12.30  42431580  24323452       576   1275900   2819860      9984     15740    861704
04:29:36 AM 323801780 389053920   2605484      0.66    857096  64789936  53286168     13.21  42431780  24357704       896   1308764   2819488      9984     17000    861688
04:29:41 AM 323810612 389063980   2595448      0.66    857096  64791184  53290948     13.21  42431936  24358208      1236   1307636   2819444      9984     16876    861672
04:29:46 AM 323803204 389057920   2602232      0.66    857096  64792468  53303372     13.22  42432164  24358800      1704   1307248   2818784      9984     16936    861704
04:29:51 AM 323801520 389057840   2602440      0.66    857096  64794044  53298092     13.22  42432556  24360444      1420   1308064   2818684      9984     16928    861752
04:29:56 AM 323857888 389115468   2544252      0.64    857096  64795304  38338048      9.51  42432648  24299960       504   1246372   2819244      9968     15236    861736
04:30:01 AM 323803436 389061972   2598272      0.66    857096  64796224  53310244     13.22  42432808  24364348      1692   1310000   2818756      9984     16868    861704
04:30:06 AM 323804388 389064460   2595388      0.66    857096  64797684  53298868     13.22  42433004  24365672      1668   1310088   2819228      9984     16956    861720
04:30:11 AM 323813116 389074520   2585044      0.65    857096  64798988  53293112     13.22  42433204  24364340      1256   1307724   2819540      9968     16704    861720
04:30:16 AM 323807056 389069968   2589368      0.66    857096  64800500  50485932     12.52  42433416  24362856      1264   1305092   2819764      9968     16560    861624
04:30:21 AM 323881480 389146064   2513412      0.64    857096  64802068  45910360     11.38  42433552  24303272       644   1243776   2819728      9936     15360    861624
04:30:26 AM 323824264 389089980   2568880      0.65    857096  64803196  50479512     12.52  42433688  24352152      1720   1291852   2820348      9968     16416    861704
04:30:31 AM 323803476 389070432   2588668      0.66    857096  64804440  53295576     13.22  42433924  24369464      1512   1308052   2820104      9968     16788    861720
04:30:36 AM 323803176 389071708   2587756      0.66    857096  64805972  53293988     13.22  42434140  24370616      1516   1307548   2819784      9968     16828    861768
04:30:41 AM 323821380 389091480   2568448      0.65    857096  64807452  53298700     13.22  42434348  24374092      1180   1310164   2819408      9968     16924    861752
04:30:46 AM 323855140 389126684   2533144      0.64    857096  64808832  43969052     10.90  42434452  24327944       736   1262692   2819572      9936     15708    861704
04:30:51 AM 323838260 389111060   2548552      0.65    857096  64810028  46783796     11.60  42434604  24343632      1636   1277268   2819848      9952     16116    861752
04:30:56 AM 323776064 389050132   2609204      0.66    857096  64811304  53291324     13.22  42434824  24375572      1788   1308272   2820116      9984     16896    861736
04:31:01 AM 323774708 389050368   2609296      0.66    857096  64812772  53300552     13.22  42435052  24377004      1408   1307924   2819912      9968     16956    861704
04:31:06 AM 323759864 389037008   2622288      0.66    857096  64814228  50485008     12.52  42435208  24378608      1016   1308684   2820308      9952     16508    861672
04:31:11 AM 323826420 389104548   2554568      0.65    857096  64815204  43958568     10.90  42435316  24326104       876   1255228   2820496      9952     15576    861656
04:31:16 AM 323749804 389029304   2629492      0.67    857096  64816580  53293744     13.22  42435520  24381484      1840   1309580   2820812      9968     16904    861736
04:31:21 AM 323753056 389033996   2625272      0.66    857096  64817972  53304484     13.22  42435744  24381400      1376   1308236   2820388      9968     16816    861720
04:31:26 AM 323822004 389104616   2554384      0.65    857096  64819616  43079108     10.68  42435844  24305268       752   1230524   2820684      9936     15656    861656
04:31:31 AM 323759568 389042772   2615904      0.66    857096  64820204  50495620     12.52  42436020  24381020       444   1305436   2821012      9968     16536    861688
04:31:36 AM 323780852 389065472   2594404      0.66    857096  64821608  47664504     11.82  42436216  24363856       536   1287708   2819824      9968     16428    861624
04:31:41 AM 323788036 389074512   2584876      0.65    857096  64823432  43967844     10.90  42436380  24351640       880   1273672   2820344      9952     15652    861624
04:31:46 AM 323747536 389035200   2623932      0.66    857096  64824600  53294052     13.22  42436564  24389544       732   1310744   2820620      9968     16964    861736
04:31:51 AM 323780892 389070000   2589972      0.66    857096  64826032  49595340     12.30  42436728  24359788       280   1279580   2819792      9952     16296    861704
04:31:56 AM 323771984 389062340   2597348      0.66    857096  64827228  49586880     12.30  42436908  24357336       500   1275588   2820128      9952     16268    861688
04:32:01 AM 323740804 389032408   2627140      0.67    857096  64828436  53294260     13.22  42437100  24392896      1472   1310632   2820308     10000     16832    861752
04:32:06 AM 323780968 389074480   2585288      0.65    857096  64830276  46796036     11.60  42437284  24343144      1264   1259292   2820156      9936     15592    861688
04:32:11 AM 323761056 389055848   2603488      0.66    857096  64831560  49607336     12.30  42437508  24363772      1132   1278900   2820584      9952     16296    861672
04:32:16 AM 323757016 389053116   2605116      0.66    857096  64832844  49611684     12.30  42437676  24363060      1448   1277000   2821712      9968     16032    861688
04:32:21 AM 323735752 389033208   2625776      0.66    857096  64834196  53300536     13.22  42437856  24399172      1724   1312048   2820964      9952     16944    861640
