timestamp,module,event
2024-01-18 23:57:15,topoaa,start
2024-01-18 23:57:21,topoaa,finish
2024-01-18 23:57:22,rigidbody,start
2024-01-19 00:11:10,rigidbody,finish
2024-01-19 00:11:11,seletop,start
2024-01-19 00:11:11,seletop,finish
2024-01-19 00:11:11,caprieval,start
2024-01-19 00:11:35,caprieval,finish
2024-01-19 00:11:37,flexref,start
2024-01-19 00:34:46,flexref,finish
2024-01-19 00:34:46,caprieval,start
2024-01-19 00:35:10,caprieval,finish
2024-01-19 00:35:12,emref,start
2024-01-19 00:37:28,emref,finish
2024-01-19 00:37:28,caprieval,start
2024-01-19 00:37:52,caprieval,finish
