timestamp,module,event
2024-01-21 22:37:38,topoaa,start
2024-01-21 22:37:43,topoaa,finish
2024-01-21 22:37:45,rigidbody,start
2024-01-22 02:37:38,rigidbody,finish
2024-01-22 02:37:39,caprieval,start
2024-01-22 03:03:58,caprieval,finish
2024-01-22 03:03:59,seletop,start
2024-01-22 03:04:04,seletop,finish
2024-01-22 03:04:05,caprieval,start
2024-01-22 03:05:48,caprieval,finish
2024-01-22 03:05:50,flexref,start
2024-01-22 04:34:26,caprieval,start
2024-01-22 04:34:26,flexref,finish
2024-01-22 04:35:22,caprieval,finish
2024-01-22 04:35:24,emref,start
2024-01-22 04:42:56,emref,finish
2024-01-22 04:42:56,caprieval,start
2024-01-22 04:44:09,caprieval,finish
2024-01-22 04:44:09,clustfcc,start
2024-01-22 04:44:34,clustfcc,finish
2024-01-22 04:44:34,seletopclusts,start
2024-01-22 04:45:14,seletopclusts,finish
2024-01-22 04:45:15,caprieval,start
2024-01-22 04:46:04,caprieval,finish
