Timestamp,CPU,CPU MHz,module,event
2024-01-22 15:07:00,13,800.0,rigidbody,start
2024-01-22 15:07:00,14,800.0,rigidbody,start
2024-01-22 15:07:00,15,800.0,rigidbody,start
2024-01-22 15:07:00,16,925.476,rigidbody,start
2024-01-22 15:07:00,17,800.0,rigidbody,start
2024-01-22 15:07:00,18,800.0,rigidbody,start
2024-01-22 15:07:00,19,800.0,rigidbody,start
2024-01-22 15:07:00,20,800.0,rigidbody,start
2024-01-22 15:07:00,21,2000.0,rigidbody,start
2024-01-22 15:07:00,22,800.0,rigidbody,start
2024-01-22 15:07:00,23,800.0,rigidbody,start
2024-01-22 15:07:00,24,800.0,rigidbody,start
2024-01-22 15:07:00,25,800.0,rigidbody,start
2024-01-22 15:07:00,26,800.0,rigidbody,start
2024-01-22 15:07:00,27,800.0,rigidbody,start
2024-01-22 15:07:00,28,800.0,rigidbody,start
2024-01-22 15:07:00,29,800.0,rigidbody,start
2024-01-22 15:07:00,30,800.0,rigidbody,start
2024-01-22 15:07:00,31,800.0,rigidbody,start
2024-01-22 15:07:05,0,800.0,rigidbody,start
2024-01-22 15:07:05,1,800.0,rigidbody,start
2024-01-22 15:07:05,2,800.0,rigidbody,start
2024-01-22 15:07:05,3,800.0,rigidbody,start
2024-01-22 15:07:05,4,800.0,rigidbody,start
2024-01-22 15:07:05,5,800.0,rigidbody,start
2024-01-22 15:07:05,6,1400.0,rigidbody,start
2024-01-22 15:07:05,7,1358.835,rigidbody,start
2024-01-22 15:07:05,8,800.0,rigidbody,start
2024-01-22 15:07:05,9,800.0,rigidbody,start
2024-01-22 15:07:05,10,1847.856,rigidbody,start
2024-01-22 15:07:05,11,800.0,rigidbody,start
2024-01-22 15:07:05,12,800.0,rigidbody,start
2024-01-22 15:07:05,13,800.0,rigidbody,start
2024-01-22 15:07:05,14,800.0,rigidbody,start
2024-01-22 15:07:05,15,800.0,rigidbody,start
2024-01-22 15:07:05,16,963.035,rigidbody,start
2024-01-22 15:07:05,17,800.0,rigidbody,start
2024-01-22 15:07:05,18,800.0,rigidbody,start
2024-01-22 15:07:05,19,900.0,rigidbody,start
2024-01-22 15:07:05,20,800.0,rigidbody,start
2024-01-22 15:07:05,21,2100.0,rigidbody,start
2024-01-22 15:07:05,22,800.0,rigidbody,start
2024-01-22 15:07:05,23,800.0,rigidbody,start
2024-01-22 15:07:05,24,800.0,rigidbody,start
2024-01-22 15:07:05,25,800.0,rigidbody,start
2024-01-22 15:07:05,26,800.0,rigidbody,start
2024-01-22 15:07:05,27,800.0,rigidbody,start
2024-01-22 15:07:05,28,800.0,rigidbody,start
2024-01-22 15:07:05,29,800.0,rigidbody,start
2024-01-22 15:07:05,30,800.0,rigidbody,start
2024-01-22 15:07:05,31,800.0,rigidbody,start
2024-01-22 15:07:10,0,800.0,rigidbody,start
2024-01-22 15:07:10,1,800.0,rigidbody,start
