Linux 5.15.0-91-generic (gl5) 	01/24/2024 	_x86_64_	(32 CPU)

04:10:52 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:10:57 PM     all      3.70      0.00      4.27      0.23      0.00     91.80
04:10:57 PM       0      1.20      0.00      4.40      0.00      0.00     94.40
04:10:57 PM       1      1.00      0.00      4.80      0.00      0.00     94.20
04:10:57 PM       2      1.40      0.00      4.40      0.00      0.00     94.20
04:10:57 PM       3      1.00      0.00      4.21      0.00      0.00     94.79
04:10:57 PM       4      0.80      0.00      4.61      0.00      0.00     94.59
04:10:57 PM       5      1.20      0.00      4.21      0.00      0.00     94.59
04:10:57 PM       6      1.00      0.00      5.00      0.00      0.00     94.00
04:10:57 PM       7      1.20      0.00      4.21      0.00      0.00     94.59
04:10:57 PM       8      1.40      0.00      3.80      0.00      0.00     94.80
04:10:57 PM       9      1.20      0.00      4.00      0.00      0.00     94.80
04:10:57 PM      10      0.80      0.00      4.41      0.00      0.00     94.79
04:10:57 PM      11      1.00      0.00      4.02      0.00      0.00     94.98
04:10:57 PM      12      0.80      0.00      4.40      0.00      0.00     94.80
04:10:57 PM      13      0.80      0.00      4.59      0.00      0.00     94.61
04:10:57 PM      14      1.00      0.00      4.20      0.00      0.00     94.80
04:10:57 PM      15      3.21      0.00      5.01      0.00      0.00     91.78
04:10:57 PM      16      1.00      0.00      4.41      0.00      0.00     94.59
04:10:57 PM      17      1.00      0.00      4.19      0.00      0.00     94.81
04:10:57 PM      18      0.80      0.00      4.40      0.00      0.00     94.80
04:10:57 PM      19      0.80      0.00      4.81      0.00      0.00     94.39
04:10:57 PM      20      0.60      0.00      4.60      0.00      0.00     94.80
04:10:57 PM      21      0.80      0.00      4.40      0.00      0.00     94.80
04:10:57 PM      22      0.60      0.00      4.41      0.00      0.00     94.99
04:10:57 PM      23      1.00      0.00      4.01      0.00      0.00     94.99
04:10:57 PM      24      1.00      0.00      4.20      7.20      0.00     87.60
04:10:57 PM      25      1.20      0.00      4.60      0.00      0.00     94.20
04:10:57 PM      26      0.60      0.00      4.41      0.00      0.00     94.99
04:10:57 PM      27     85.63      0.00      1.20      0.20      0.00     12.97
04:10:57 PM      28      1.20      0.00      4.19      0.00      0.00     94.61
04:10:57 PM      29      0.80      0.00      4.20      0.00      0.00     95.00
04:10:57 PM      30      1.00      0.00      4.20      0.00      0.00     94.80
04:10:57 PM      31      1.00      0.00      4.20      0.00      0.00     94.80

04:10:57 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:11:02 PM     all      0.89      0.00      0.11      0.80      0.00     98.20
04:11:02 PM       0      0.00      0.00      0.20      0.00      0.00     99.80
04:11:02 PM       1      0.00      0.00      0.20      0.00      0.00     99.80
04:11:02 PM       2      0.00      0.00      0.20      0.00      0.00     99.80
04:11:02 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM       7      0.00      0.00      0.20      0.00      0.00     99.80
04:11:02 PM       8      0.00      0.00      0.20      0.00      0.00     99.80
04:11:02 PM       9      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM      10      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM      12      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM      13      0.20      0.00      0.20      0.00      0.00     99.60
04:11:02 PM      14      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM      15      2.80      0.00      0.80     17.60      0.00     78.80
04:11:02 PM      16      0.20      0.00      0.20      0.00      0.00     99.60
04:11:02 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM      20      0.00      0.00      0.80      0.00      0.00     99.20
04:11:02 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM      23      0.00      0.00      0.40      0.00      0.00     99.60
04:11:02 PM      24      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM      26      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM      27     25.05      0.00      0.00      8.02      0.00     66.93
04:11:02 PM      28      0.20      0.00      0.00      0.00      0.00     99.80
04:11:02 PM      29      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM      30      0.00      0.00      0.00      0.00      0.00    100.00
04:11:02 PM      31      0.00      0.00      0.00      0.00      0.00    100.00

04:11:02 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:11:07 PM     all      3.86      0.00      0.36      2.14      0.00     93.64
04:11:07 PM       0      0.20      0.00      2.00      2.00      0.00     95.80
04:11:07 PM       1     25.30      0.00      1.00      8.03      0.00     65.66
04:11:07 PM       2     25.70      0.00      0.40      9.04      0.00     64.86
04:11:07 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
04:11:07 PM       4      0.00      0.00      0.20      0.00      0.00     99.80
04:11:07 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
04:11:07 PM       6      0.00      0.00      0.80      1.81      0.00     97.39
04:11:07 PM       7     40.08      0.00      0.20      0.00      0.00     59.72
04:11:07 PM       8      0.40      0.00      0.60      1.00      0.00     98.00
04:11:07 PM       9      0.00      0.00      0.60      0.00      0.00     99.40
04:11:07 PM      10      0.00      0.00      0.20      2.00      0.00     97.80
04:11:07 PM      11      0.00      0.00      0.00      0.00      0.00    100.00
04:11:07 PM      12      0.20      0.00      0.20      1.20      0.00     98.39
04:11:07 PM      13      0.00      0.00      0.80      0.00      0.00     99.20
04:11:07 PM      14      0.00      0.00      0.40      2.00      0.00     97.60
04:11:07 PM      15     30.72      0.00      1.41     39.76      0.00     28.11
04:11:07 PM      16      0.20      0.00      0.20      0.00      0.00     99.60
04:11:07 PM      17      0.00      0.00      0.00      0.00      0.00    100.00
04:11:07 PM      18      0.00      0.00      0.00      0.00      0.00    100.00
04:11:07 PM      19      0.00      0.00      0.00      0.00      0.00    100.00
04:11:07 PM      20      0.00      0.00      0.80      0.00      0.00     99.20
04:11:07 PM      21      0.00      0.00      0.00      0.00      0.00    100.00
04:11:07 PM      22      0.00      0.00      0.00      0.00      0.00    100.00
04:11:07 PM      23      0.00      0.00      0.00      0.00      0.00    100.00
04:11:07 PM      24      0.20      0.00      0.00      0.00      0.00     99.80
04:11:07 PM      25      0.00      0.00      0.00      0.00      0.00    100.00
04:11:07 PM      26      0.00      0.00      0.40      0.00      0.00     99.60
04:11:07 PM      27      0.20      0.00      0.40      0.00      0.00     99.40
04:11:07 PM      28      0.60      0.00      0.80      0.00      0.00     98.60
04:11:07 PM      29      0.00      0.00      0.00      1.80      0.00     98.20
04:11:07 PM      30      0.00      0.00      0.20      0.00      0.00     99.80
04:11:07 PM      31      0.00      0.00      0.00      0.00      0.00    100.00

04:11:07 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:11:12 PM     all      5.30      0.00      0.27      3.06      0.00     91.38
04:11:12 PM       0      0.20      0.00      0.60      1.20      0.00     97.99
04:11:12 PM       1     45.20      0.00      1.20     15.60      0.00     38.00
04:11:12 PM       2      0.20      0.00      0.40      2.00      0.00     97.41
