Linux 5.15.0-91-generic (gl5) 	01/31/2024 	_x86_64_	(32 CPU)

12:56:09 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
12:56:14 PM 296304156 389838664   1842972      0.47   1570652  91530556   4669432      1.16  40770724  52877500       280    575400   3610212     10592      6120    279912
12:56:19 PM 296286772 389823300   1857964      0.47   1570652  91532552   4675740      1.16  40770776  52882236      1236    578160   3610608     10624      6252    280064
12:56:24 PM 296265204 389802568   1878828      0.48   1570652  91533348   7223104      1.79  40771064  52917876       536    613236   3610516      9696      6984    279200
12:56:29 PM 296302352 389840788   1840736      0.47   1570652  91534292   4196640      1.04  40771216  52881620      1360    576192   3610516      9584      6036    279080
12:56:34 PM 296301212 389841260   1840308      0.47   1570652  91535812   4196640      1.04  40771220  52883184       304    576200   3610564      9568      6008    279048
12:56:39 PM 296296968 389838848   1843108      0.47   1570652  91537428   4200544      1.04  40771228  52886584      1144    578120   3610392      9616      6156    279056
12:56:44 PM 296296400 389839968   1842028      0.47   1570652  91539012   4196640      1.04  40771220  52886364       360    576188   3610456      9600      6008    279032
12:56:49 PM 296293800 389838896   1843004      0.47   1570652  91540464   4200676      1.04  40771228  52890396       776    578640   3610628     10000      5764    279120
12:56:54 PM 296294384 389841364   1840528      0.47   1570652  91542160   4196772      1.04  40771228  52889656       124    576340   3610824      9600      6076    279080
12:56:59 PM 296293712 389842408   1839420      0.47   1570652  91543644   4196772      1.04  40771220  52891264      1180    576984   3611120      9776      6008    279064
12:57:04 PM 296293824 389844064   1837536      0.47   1570652  91545028   4196772      1.04  40771228  52892592         0    576424   3611508      9616      6048    279032
12:57:09 PM 296294628 389846440   1835132      0.46   1570652  91546540   4195988      1.04  40771220  52893924       580    576212   3611596      9568      5984    279000
12:57:14 PM 296287652 389840968   1840844      0.47   1570652  91547852   4196920      1.04  40771232  52895472        28    576460   3611548      9568      6016    278984
12:57:19 PM 296286992 389841952   1839956      0.47   1570652  91549408   4196920      1.04  40771236  52897156       304    576668   3611540      9616      6124    278984
12:57:24 PM 296290400 389846956   1835148      0.46   1570652  91550896   4196920      1.04  40771232  52898336      1400    576268   3611452      9600      6016    279000
12:57:29 PM 296288728 389846964   1835112      0.46   1570652  91552468   4196920      1.04  40771232  52899920       332    576304   3611588      9600      6016    279032
12:57:34 PM 296282548 389842456   1839664      0.47   1570652  91553936   4196920      1.04  40771236  52901552      1256    576480   3611748      9616      6052    279064
12:57:39 PM 296281372 389842804   1839336      0.47   1570652  91555400   4197052      1.04  40771232  52902988       232    576424   3611788      9600      6020    279080
12:57:44 PM 296270876 389834112   1848080      0.47   1570652  91557008   4197052      1.04  40771236  52904656      1264    576512   3611932      9632      6048    279016
12:57:49 PM 296272136 389837024   1845172      0.47   1570652  91558560   4197052      1.04  40771240  52906344       208    576692   3612028      9616      6080    279032
12:57:54 PM 296262036 389828564   1853208      0.47   1570652  91559976   4201272      1.04  40771244  52910032      1244    578972   3612676      9648      6204    279088
12:57:59 PM 296264632 389832676   1849224      0.47   1570652  91561412   4197184      1.04  40771236  52909168       348    576628   3612628      9552      5948    279048
12:58:04 PM 296263824 389835644   1846500      0.47   1570652  91564936   4197184      1.04  40771248  52913000      1620    576964   3612636      9568      6048    279000
12:58:09 PM 296266084 389839088   1843048      0.47   1570656  91566072   4197184      1.04  40771248  52914112       204    576908   3612688      9584      6052    279000
12:58:14 PM 296259536 389834216   1847076      0.47   1570656  91567616   4197184      1.04  40771252  52915840       420    577104   3613664      9600      6116    279064
12:58:19 PM 296260196 389836308   1844972      0.47   1570656  91568972   4197316      1.04  40771252  52917144       172    577060   3613752      9600      6080    279032
12:58:24 PM 296260980 389838764   1842584      0.47   1570656  91570520   4197316      1.04  40771256  52918728      1196    577108   3613808      9600      6084    279032
12:58:29 PM 296259780 389839040   1842308      0.47   1570656  91571900   4197316      1.04  40771252  52920100       216    577072   3613904      9600      6056    278984
12:58:34 PM 296265988 389846504   1835112      0.46   1570656  91573160   4197316      1.04  40771244  52922264       564    577840   3613632     10208      6132    279000
12:58:39 PM 296253636 389835708   1845784      0.47   1570660  91574620   4201536      1.04  40771264  52925116         8    579432   3613848      9616      6172    279024
12:58:44 PM 296256336 389839900   1841532      0.47   1570660  91576056   4197448      1.04  40771252  52925160      1200    577916   3613964     10128      6136    279048
12:58:49 PM 296256984 389842152   1839208      0.47   1570660  91577548   4197448      1.04  40771260  52925912        16    577280   3614148      9600      6080    279032
12:58:54 PM 296258240 389844824   1836556      0.47   1570660  91578872   4196664      1.04  40771256  52927072       568    577044   3614220      9552      5984    278984
12:58:59 PM 296273020 389861096   1820708      0.46   1570660  91580308   4197448      1.04  40771268  52928728       932    577336   3613852      9616      6076    279032
12:59:04 PM 296271848 389861456   1820380      0.46   1570660  91581744   4197580      1.04  40771272  52930264       376    577392   3613916      9600      6076    279016
12:59:09 PM 296272960 389864040   1817840      0.46   1570660  91583024   4199532      1.04  40771276  52933112      1396    579024   3614064      9600      6116    279064
12:59:14 PM 296286056 389878736   1803108      0.46   1570660  91584564   4201800      1.04  40771276  52935308       420    579660   3614160      9632      6232    279056
12:59:19 PM 296300232 389894416   1787336      0.45   1570660  91585888   4197580      1.04  40771276  52934432       888    577432   3614432      9568      6048    279032
12:59:24 PM 296300596 389896024   1785720      0.45   1570660  91587076   4201484      1.04  40771280  52937456       304    579452   3614496      9600      6160    279072
12:59:29 PM 296300796 389897844   1783936      0.45   1570660  91588516   4197724      1.04  40771276  52937196      1328    577612   3614640      9536      6020    279032
12:59:34 PM 296300960 389899796   1782008      0.45   1570660  91590204   4201628      1.04  40771284  52940696       344    579572   3614716      9632      6196    279024
12:59:39 PM 296293404 389893640   1788136      0.45   1570660  91591420   4201944      1.04  40771284  52942568       872    580064   3614928      9600      6164    279056
12:59:44 PM 296296372 389898120   1783724      0.45   1570660  91592832   4197724      1.04  40771284  52941644       276    577712   3614960      9568      6044    279000
12:59:49 PM 296288076 389891724   1789964      0.45   1570660  91594492   4197864      1.04  40771284  52943332       968    577760   3615356      9584      6052    279048
12:59:54 PM 296286132 389891260   1790404      0.45   1570660  91595876   4197864      1.04  40771284  52944708       308    577780   3615476      9600      6048    279016
12:59:59 PM 296279920 389887016   1794868      0.45   1570660  91597592   4199144      1.04  40771288  52947744       924    579088   3615508      9584      6048    279032
01:00:04 PM 296277996 389886784   1795096      0.45   1570660  91599188   4199144      1.04  40771288  52949400       256    579116   3615608      9584      6052    279016
01:00:09 PM 296275544 389885788   1796116      0.45   1570660  91600596   4199144      1.04  40771288  52950792       968    579144   3615632      9584      6052    279080
01:00:14 PM 296273196 389885100   1796812      0.46   1570660  91602144   4199276      1.04  40771292  52952388       304    579172   3615736      9552      6024    279096
01:00:19 PM 296264796 389878372   1803480      0.46   1570660  91603748   4199276      1.04  40771288  52954036      1008    579212   3615864      9584      6048    279064
01:00:24 PM 296264364 389879448   1802344      0.46   1570660  91605160   4199276      1.04  40771292  52955444        44    579244   3616020      9584      6048    279048
01:00:29 PM 296264432 389880940   1800840      0.46   1570660  91606444   4199276      1.04  40771296  52956580       968    579160   3616172      9840      5740    279080
01:00:34 PM 296278016 389896268   1785692      0.45   1570660  91608100   4199276      1.04  40771292  52958404        36    579300   3616080      9584      6056    279032
01:00:39 PM 296278844 389898432   1783444      0.45   1570660  91609344   4199276      1.04  40771288  52960240         0    579372   3616256      9904      6028    279080
01:00:44 PM 296277044 389898732   1783084      0.45   1570660  91611220   4199408      1.04  40771292  52961532      1244    579268   3616540      9552      5984    279080
01:00:49 PM 296276112 389899568   1782264      0.45   1570660  91612852   4199408      1.04  40771296  52963364       284    579448   3616660      9552      6056    279048
01:00:54 PM 296271472 389896664   1785308      0.45   1570660  91614560   4203312      1.04  40771300  52966028      1272    580964   3616548      9552      6012    279088
01:00:59 PM 296268596 389895040   1786852      0.45   1570660  91615736   4203760      1.04  40771308  52968412       484    581672   3616704      9616      6172    279088
01:01:04 PM 296273716 389901556   1780436      0.45   1570660  91617048   4199540      1.04  40771308  52968016      1412    579932   3616688      9600      6144    279048
01:01:09 PM 296273312 389902552   1779460      0.45   1570660  91618348   4199540      1.04  40771308  52969060       252    579648   3616768      9616      6156    279064
01:01:14 PM 296262972 389894312   1787652      0.45   1570660  91620324   4199540      1.04  40771304  52970976      1228    579608   3616940      9584      6084    279064
01:01:19 PM 296262036 389894980   1786892      0.45   1570660  91621820   4199676      1.04  40771308  52972456       224    579568   3617140      9520      5984    279048
01:01:24 PM 296260860 389895540   1786388      0.45   1570660  91623516   4199676      1.04  40771312  52974196      1276    579604   3617124      9520      5996    279032
01:01:29 PM 296260168 389896584   1785308      0.45   1570660  91625152   4203580      1.04  40771316  52977724       220    581544   3617260      9600      6180    279104
01:01:34 PM 296247560 389885536   1796024      0.45   1570660  91626892   4203896      1.04  40771316  52979776      1424    581896   3617412      9584      6140    279104
01:01:39 PM 296245964 389885548   1796300      0.45   1570660  91628360   4199808      1.04  40771320  52979256       212    579832   3617264      9536      6040    279048
01:01:44 PM 296250900 389891704   1790324      0.45   1570660  91629552   4199808      1.04  40771324  52980652      1248    580112   3617112      9568      6116    279064
01:01:49 PM 296250064 389892204   1789760      0.45   1570660  91630772   4200660      1.04  40771012  52982096       184    579972   3617292      9648      6200    279080
01:01:54 PM 296248356 389892476   1789872      0.45   1570660  91632628   4199808      1.04  40771016  52983920      1240    579960   3617032      9520      6036    279048
01:01:59 PM 296247720 389893500   1788960      0.45   1570660  91634148   4199808      1.04  40771020  52985532       196    580000   3617060      9536      6068    279032
01:02:04 PM 296246352 389893476   1789000      0.45   1570660  91635632   4199940      1.04  40771012  52987008      1276    580028   3616904      9552      6064    279064
01:02:09 PM 296245388 389894168   1788312      0.45   1570660  91637172   4199940      1.04  40771024  52988584       200    580064   3617016      9552      6068    279080
01:02:14 PM 296235664 389886212   1796232      0.45   1570660  91638876   4199940      1.04  40771028  52990968      1184    580364   3617116      9728      6328    279096
01:02:19 PM 296235104 389887056   1795356      0.45   1570660  91640184   4199940      1.04  40771024  52991636       168    580104   3617244      9520      6036    279064
01:02:24 PM 296226876 389880244   1802156      0.46   1570660  91641508   4199852      1.04  40771028  52993220       224    579940   3617348      9792      6080    279048
01:02:29 PM 296223120 389878312   1803968      0.46   1570660  91643192   4200072      1.04  40771028  52994492      1360    579924   3617608      9552      6068    279064
01:02:34 PM 296215900 389872796   1809716      0.46   1570664  91644804   4204292      1.04  40771036  52998600       524    582504   3617464      9600      6252    279072
01:02:39 PM 296212332 389870968   1811780      0.46   1570664  91646392   4200072      1.04  40771032  52997660      1312    579892   3617380      9600      6068    279080
01:02:44 PM 296211968 389871964   1810780      0.46   1570664  91647660   4200204      1.04  40771036  52999044       408    580032   3617476      9584      6100    279048
01:02:49 PM 296207784 389869520   1813172      0.46   1570664  91649324   4200204      1.04  40771040  53000676      1172    580040   3617604      9584      6076    279128
01:02:54 PM 296206212 389869724   1812996      0.46   1570664  91650956   4200204      1.04  40771040  53002388       388    580076   3617720      9584      6076    279128
01:02:59 PM 296203392 389868264   1814532      0.46   1570664  91652120   4200204      1.04  40771040  53003540      1232    580096   3617840      9568      6068    279112
01:03:04 PM 296201724 389868272   1814424      0.46   1570664  91653672   4200336      1.04  40771040  53005064       332    580016   3618064      9584      6044    279096
01:03:09 PM 296202936 389870916   1811780      0.46   1570664  91655084   4200336      1.04  40771040  53006572      1212    580148   3618084      9584      6076    279096
01:03:14 PM 296203172 389872676   1809996      0.46   1570664  91656544   4200336      1.04  40771044  53008096       220    580176   3618172      9568      6044    279080
01:03:19 PM 296204080 389875384   1807504      0.46   1570664  91658264   4204556      1.04  40771052  53011972      1232    582464   3618036      9632      6224    279088
01:03:24 PM 296208920 389881244   1801636      0.46   1570664  91659224   4200336      1.04  40771048  53010780       400    580232   3618104      9584      6076    279032
01:03:29 PM 296224516 389898724   1784036      0.45   1570664  91660956   4200468      1.04  40771044  53012544      1216    580268   3618376      9584      6076    279112
01:03:34 PM 296224348 389900064   1782712      0.45   1570664  91662360   4200468      1.04  40771048  53013968       272    580256   3618464      9552      6008    279080
01:03:39 PM 296218480 389896064   1786772      0.45   1570664  91664108   4200468      1.04  40771052  53015752      1112    580328   3618524      9600      6072    279096
01:03:44 PM 296217616 389896708   1786072      0.45   1570664  91665512   4200724      1.04  40771052  53017232       292    580396   3618684      9616      6100    279080
01:03:49 PM 296224864 389905664   1777240      0.45   1570664  91667048   4200856      1.04  40771052  53018844      1108    580456   3618732      9600      6072    279176
01:03:54 PM 296223208 389905292   1777644      0.45   1570664  91668228   4205076      1.04  40771056  53022340       364    582784   3618804      9632      6192    279136
01:03:59 PM 296219692 389903732   1779152      0.45   1570664  91669964   4205076      1.04  40771052  53025048      1216    583908   3619076     10064      6508    279136
