Linux 5.15.0-87-generic (gl6) 	02/01/2024 	_x86_64_	(32 CPU)

06:14:15 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
06:14:20 AM  46721084 389305828   1533072      0.39   3999524 328523008   3589532      0.89 155945856 176725040       280    176560  14082452      9344      3956    296316
06:14:25 AM  46669544 389256260   1583136      0.40   3999524 328524904   9159908      2.27 155945912 176792968        56    242444  14082032      8592      4912    295548
06:14:30 AM  46726408 389313916   1525680      0.39   3999524 328525696   3116740      0.77 155946192 176728152        48    177084  14081832      8368      3900    295468
06:14:35 AM  46725588 389314620   1524968      0.39   3999524 328527180   3117912      0.77 155946348 176729744        28    177276  14081880      8368      3908    295468
06:14:40 AM  46722036 389312300   1527296      0.39   3999524 328528388   3117912      0.77 155946348 176730912       204    177276  14081896      8384      3904    295452
06:14:45 AM  46725720 389317608   1521980      0.39   3999524 328529908   3117912      0.77 155946348 176732428        36    177284  14082008      8384      3900    295468
06:14:50 AM  46726040 389319648   1519932      0.38   3999524 328531572   3117912      0.77 155946348 176734064       168    177284  14082072      8384      3908    295468
06:14:55 AM  46725860 389321252   1518336      0.38   3999524 328533316   3117912      0.77 155946348 176735888        40    177284  14082104      8384      3908    295468
06:15:00 AM  46725684 389322460   1517140      0.38   3999524 328534640   3117912      0.77 155946348 176737184        56    177284  14082152      8384      3908    295436
06:15:05 AM  46725736 389323808   1515772      0.38   3999524 328535908   3117912      0.77 155946344 176738480        24    177288  14082200      8384      3908    295452
06:15:10 AM  46726508 389326196   1513388      0.38   3999524 328537456   3117912      0.77 155946344 176739980        24    177288  14082264      8384      3900    295420
06:15:15 AM  46726848 389328088   1511436      0.38   3999524 328538940   3122132      0.77 155946344 176743596       188    179480  14082392      8416      4028    295396
06:15:20 AM  46717880 389320704   1519012      0.38   3999524 328540468   3117912      0.77 155946340 176742976       272    177288  14082256      8384      3908    295388
06:15:25 AM  46716916 389321552   1518168      0.38   3999524 328542180   3117912      0.77 155946340 176744788        52    177324  14082352      8384      3908    295388
06:15:30 AM  46717148 389323028   1516692      0.38   3999524 328543392   3117912      0.77 155946340 176746024       164    177348  14082384      8384      3908    295372
06:15:35 AM  46715444 389323012   1516604      0.38   3999524 328545024   3117912      0.77 155946340 176747672        16    177388  14082544      8384      3908    295356
06:15:40 AM  46715020 389324292   1515428      0.38   3999524 328546656   3117912      0.77 155946340 176749344        20    177420  14082512      8384      3904    295388
06:15:45 AM  46715416 389326152   1513568      0.38   3999524 328548088   3117912      0.77 155946340 176750788        20    177448  14082544      8384      3908    295388
06:15:50 AM  46720724 389333152   1506644      0.38   3999524 328549752   3117912      0.77 155946340 176752464       196    177480  14082496      8384      3904    295388
06:15:55 AM  46719056 389332728   1507104      0.38   3999524 328550940   3117912      0.77 155946340 176753724        64    177512  14082516      8384      3904    295388
06:16:00 AM  46717888 389333016   1506812      0.38   3999524 328552288   3117912      0.77 155946340 176755096       164    177544  14082628      8384      3908    295388
06:16:05 AM  46717452 389334352   1505400      0.38   3999524 328554024   3117912      0.77 155946340 176756876         8    177580  14082740      8384      3904    295388
06:16:10 AM  46716052 389334564   1505196      0.38   3999524 328555548   3117912      0.77 155946340 176758428        12    177616  14082820      8384      3908    295372
06:16:15 AM  46715004 389334836   1504868      0.38   3999524 328556844   3117912      0.77 155946340 176759736        20    177648  14082900      8384      3908    295404
06:16:20 AM  46714612 389336260   1503556      0.38   3999524 328558612   3117912      0.77 155946340 176761556        20    177672  14082836      8384      3908    295420
06:16:25 AM  46710716 389333848   1505932      0.38   3999524 328560084   3117912      0.77 155946340 176763024        44    177720  14082884      8384      3908    295420
06:16:30 AM  46709516 389334220   1505588      0.38   3999524 328561548   3117912      0.77 155946340 176764560       184    177748  14082964      8384      3904    295404
06:16:35 AM  46707300 389333612   1506212      0.38   3999524 328563092   3117912      0.77 155946340 176766104        24    177748  14083012      8400      3908    295404
06:16:40 AM  46706852 389334748   1505080      0.38   3999524 328564640   3117912      0.77 155946340 176767480       152    177560  14083044      8400      3908    295420
06:16:45 AM  46707200 389336480   1503348      0.38   3999524 328565960   3117912      0.77 155946340 176768804        20    177560  14083108      8400      3904    295404
06:16:50 AM  46710024 389340436   1499408      0.38   3999524 328567060   3117912      0.77 155946340 176769888        20    177560  14083124      8384      3908    295372
06:16:55 AM  46709056 389340736   1499080      0.38   3999524 328568276   3117912      0.77 155946340 176771120        12    177564  14083204      8384      3904    295388
06:17:00 AM  46709892 389342796   1497080      0.38   3999524 328569456   3117912      0.77 155946340 176772308        32    177584  14083188      8384      3904    295372
06:17:05 AM  46708660 389343592   1496408      0.38   3999524 328571396   3117912      0.77 155946340 176774260       220    177620  14083152      8384      3908    295356
06:17:10 AM  46707656 389344544   1495484      0.38   3999524 328573276   3117912      0.77 155946340 176776200       192    177652  14083200      8384      3904    295388
06:17:15 AM  46705944 389344604   1495384      0.38   3999524 328574992   3117912      0.77 155946340 176777968        28    177696  14083296      8384      3904    295372
06:17:20 AM  46705472 389345456   1494504      0.38   3999524 328576264   3122264      0.77 155946344 176781464       216    179984  14083376      8416      4024    295380
06:17:25 AM  46706720 389347924   1492008      0.38   3999524 328577448   3118044      0.77 155946340 176780520        24    177820  14083440      8384      3908    295356
06:17:30 AM  46708988 389351812   1488176      0.38   3999524 328578996   3118044      0.77 155946340 176782148       176    177872  14083456      8384      3908    295372
06:17:35 AM  46708572 389353176   1486832      0.38   3999524 328580708   3118044      0.77 155946340 176783924        20    177948  14083504      8368      3908    295340
06:17:40 AM  46709104 389355912   1484080      0.38   3999524 328582848   3118176      0.77 155946344 176786196        28    178060  14083584      8368      3904    295324
