Linux 5.15.0-87-generic (gl6) 	01/31/2024 	_x86_64_	(32 CPU)

02:12:47 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
02:16:37 PM  49417448 389337004   1473948      0.37   4007576 325976640   3142920      0.78 150263116 179880132       384    186944  13983528      8384      4444    301280
02:16:42 PM  49415668 389337228   1473592      0.37   4007576 325978584   3142920      0.78 150263116 179882148        60    187024  13983720      8384      4448    301280
02:16:47 PM  49414232 389337528   1473304      0.37   4007576 325980216   3151044      0.78 150263124 179887828       260    191140  13983812      8448      4688    301328
02:16:52 PM  49413104 389338440   1472396      0.37   4007576 325982204   3142920      0.78 150263116 179885916       196    187168  13983860      8368      4444    301248
02:16:57 PM  49411392 389338288   1472500      0.37   4007576 325983696   3143052      0.78 150263116 179887428       216    187228  13983976      8368      4452    301248
02:17:02 PM  49409000 389337496   1473236      0.37   4007576 325985240   3143052      0.78 150263116 179889088       208    187332  13984088      8368      4452    301248
02:17:07 PM  49408128 389338300   1472436      0.37   4007576 325986840   3147272      0.78 150263120 179892912       132    189564  13984160      8400      4572    301272
02:17:12 PM  49409464 389341700   1469172      0.37   4007576 325988864   3143184      0.78 150263116 179892880         4    187452  13984064      8368      4448    301264
02:17:17 PM  49409648 389344052   1466784      0.37   4007576 325990944   3147404      0.78 150263120 179897152        48    189728  13984188      8400      4576    301272
02:17:22 PM  49409196 389345160   1465816      0.37   4007576 325992436   3143184      0.78 150263116 179896584       208    187600  13984116      8368      4448    301264
02:17:27 PM  49409264 389346352   1464564      0.37   4007576 325993540   3143184      0.78 150263116 179897716       188    187640  13984196      8384      4456    301296
02:17:32 PM  49407064 389346108   1464772      0.37   4007576 325995420   3151756      0.78 150263124 179903964       192    192088  13984308      8464      4676    301344
02:17:37 PM  49402100 389342980   1467992      0.37   4007576 325997212   3143316      0.78 150263116 179901460        20    187720  13984260      8400      4448    301312
02:17:42 PM  49403184 389346032   1464956      0.37   4007576 325999068   3143316      0.78 150263116 179903372        16    187760  13984356      8400      4448    301312
02:17:47 PM  49403720 389348088   1462876      0.37   4007576 326000528   3143316      0.78 150263116 179904856         4    187792  13984440      8400      4452    301312
02:17:52 PM  49402432 389348496   1462416      0.37   4007576 326002180   3147668      0.78 150263120 179908672       184    190012  13984536      8432      4572    301320
02:17:57 PM  49402036 389350440   1460512      0.37   4007576 326004432   3147668      0.78 150263116 179910560       280    189624  13984584      8400      4452    301304
02:18:02 PM  49400308 389350308   1460548      0.37   4007576 326005956   3147668      0.78 150263120 179912544       308    190112  13984752      8416      4568    301320
02:18:07 PM  49399240 389351012   1459812      0.37   4007576 326007680   3143596      0.78 150263120 179912180       212    187964  13984832      8384      4452    301344
02:18:12 PM  49392028 389345336   1465468      0.37   4007576 326009172   3143596      0.78 150263120 179913688        52    187972  13984896      8384      4448    301344
02:18:17 PM  49392112 389347368   1463452      0.37   4007576 326011024   3143596      0.78 150263120 179915580        12    188012  13984976      8384      4452    301344
02:18:22 PM  49390916 389347668   1463184      0.37   4007576 326012456   3143596      0.78 150263120 179917044         8    188044  13985008      8384      4452    301344
02:18:27 PM  49389872 389348000   1462840      0.37   4007576 326013812   3147816      0.78 150263124 179920604        32    190264  13985040      8416      4572    301384
02:18:32 PM  49388156 389347932   1462876      0.37   4007576 326015412   3152168      0.78 150263128 179924104       140    192176  13985120      8448      4676    301408
02:18:37 PM  49386112 389347600   1463208      0.37   4007576 326017072   3147632      0.78 150263124 179923688        12    190268  13985172      8416      4572    301368
02:18:42 PM  49381660 389344732   1465944      0.37   4007576 326018592   3147948      0.78 150263124 179925672       296    190600  13985368      8416      4576    301368
02:18:47 PM  49380520 389345092   1465728      0.37   4007576 326020028   3143728      0.78 150263120 179924992       292    188448  13985288      8384      4448    301344
02:18:52 PM  49378128 389344460   1466048      0.37   4007576 326021716   3152004      0.78 150263128 179930720       176    192556  13985672      8448      4704    301408
02:18:57 PM  49376412 389344436   1466188      0.37   4007576 326023416   3143880      0.78 150263120 179928464       324    188512  13985548      8384      4452    301392
02:19:02 PM  49374736 389343792   1466844      0.37   4007576 326024372   3143880      0.78 150263120 179929448        96    188528  13985612      8384      4448    301376
02:19:07 PM  49374036 389345032   1465592      0.37   4007576 326026228   3143880      0.78 150263120 179931332        28    188568  13985708      8384      4448    301344
02:19:12 PM  49373132 389345796   1464776      0.37   4007576 326027864   3148040      0.78 150263124 179934812        24    190488  13985792      8416      4572    301320
02:19:17 PM  49365644 389340164   1470364      0.37   4007576 326029716   3144268      0.78 150263120 179934860        20    188708  13985840      8384      4456    301312
02:19:22 PM  49365240 389341072   1469472      0.37   4007576 326030896   3148488      0.78 150263120 179938408        20    190968  13985956      8416      4568    301336
02:19:27 PM  49364084 389341184   1469392      0.37   4007576 326032136   3148488      0.78 150263120 179939532       352    190884  13985952      8416      4580    301368
02:19:32 PM  49362840 389341472   1469144      0.37   4007576 326033596   3144400      0.78 150263120 179939104       172    188952  13985984      8432      4480    301312
02:19:37 PM  49360316 389341084   1469492      0.37   4007576 326035676   3144656      0.78 150263116 179941152       168    188924  13986080      8352      4380    301360
02:19:42 PM  49358616 389340892   1469724      0.37   4007576 326037112   3148560      0.78 150263120 179944320         8    190664  13986112      8416      4516    301384
02:19:47 PM  49356940 389340608   1469972      0.37   4007576 326038492   3148876      0.78 150263128 179946436       180    191456  13986160      8400      4568    301384
02:19:52 PM  49354248 389339544   1470948      0.37   4007576 326040044   3153096      0.78 150263132 179950188       192    193628  13986324      8432      4644    301424
02:19:57 PM  49352588 389339356   1471176      0.37   4007576 326041452   3144788      0.78 150263120 179947380       144    189372  13986348      8368      4452    301344
02:20:02 PM  49365828 389353888   1456736      0.37   4007576 326042716   3144788      0.78 150263116 179948572        16    189328  13986284      8400      4444    301344
02:20:07 PM  49363116 389352768   1457788      0.37   4007576 326044232   3145044      0.78 150263124 179950332       196    189568  13986428      8384      4460    301360
02:20:12 PM  49360688 389352060   1458476      0.37   4007576 326045892   3145044      0.78 150263120 179952044        48    189588  13986508      8384      4452    301360
02:20:17 PM  49358708 389351408   1459112      0.37   4007576 326047188   3145176      0.78 150263120 179953392       152    189660  13986556      8384      4456    301360
02:20:22 PM  49350292 389344852   1465632      0.37   4007576 326048960   3149396      0.78 150263124 179957384       136    191956  13986680      8416      4568    301384
02:20:27 PM  49349180 389344992   1465452      0.37   4007576 326050184   3149396      0.78 150263124 179958688       152    192016  13986748      8416      4584    301384
02:20:32 PM  49346232 389344224   1466180      0.37   4007576 326052304   3149652      0.78 150263124 179960904       140    192112  13986848      8416      4568    301416
02:20:37 PM  49344264 389343916   1466492      0.37   4007576 326053848   3145576      0.78 150263124 179960416         4    190004  13986960      8384      4452    301392
02:20:42 PM  49343268 389344236   1466144      0.37   4007576 326055176   3149480      0.78 150263128 179963600         4    191972  13986976      8416      4580    301416
02:20:47 PM  49341784 389344120   1466428      0.37   4007576 326056472   3145576      0.78 150263124 179963204       372    190172  13986880      8384      4452    301392
02:20:52 PM  49347000 389351272   1459268      0.37   4007576 326058352   3150052      0.78 150263128 179967280       188    192452  13986944      8416      4580    301384
02:20:57 PM  49346136 389351384   1459176      0.37   4007576 326059284   3150052      0.78 150263128 179968300       308    192508  13986968      8416      4564    301400
02:21:02 PM  49344188 389351092   1459408      0.37   4007576 326060888   3145964      0.78 150263124 179967816        20    190396  13987080      8384      4448    301392
02:21:07 PM  49342256 389350832   1459704      0.37   4007576 326062492   3145964      0.78 150263128 179969488       164    190444  13987112      8384      4448    301376
02:21:12 PM  49339960 389350148   1460336      0.37   4007576 326064040   3149868      0.78 150263132 179972904         8    192404  13987228      8416      4576    301384
02:21:17 PM  49338268 389350240   1460364      0.37   4007576 326065756   3145964      0.78 150263128 179972936       128    190624  13987176      8384      4452    301344
02:21:22 PM  49337976 389351492   1459120      0.37   4007576 326067276   3154792      0.78 150263136 179978520        28    194784  13987192      8448      4676    301392
02:21:27 PM  49333552 389348520   1462096      0.37   4007576 326068748   3146352      0.78 150263128 179976044       188    190804  13987168      8384      4456    301376
02:21:32 PM  49334156 389350784   1459884      0.37   4007576 326070292   3146352      0.78 150263128 179977676         4    190860  13987232      8384      4456    301376
02:21:37 PM  49332704 389350948   1459732      0.37   4007576 326071832   3146492      0.78 150263128 179979048        12    190656  13987296      8384      4460    301344
02:21:42 PM  49331292 389351276   1459364      0.37   4007576 326073548   3146492      0.78 150263128 179980816        52    190728  13987360      8384      4456    301344
02:21:47 PM  49330260 389352176   1458432      0.37   4007576 326075376   3159408      0.78 150263140 179989244       324    197384  13987496      8480      4812    301432
02:21:52 PM  49330620 389354228   1456392      0.37   4007576 326077008   3146748      0.78 150263128 179984460       140    190916  13987544      8384      4452    301344
02:21:57 PM  49328188 389353224   1457388      0.37   4007576 326078368   3146748      0.78 150263136 179986472       168    191672  13987620      8416      4584    301328
02:22:02 PM  49325096 389351932   1458688      0.37   4007576 326080112   3146880      0.78 150263128 179987700        24    191096  13987668      8384      4460    301328
02:22:07 PM  49337512 389366408   1444196      0.37   4007576 326082108   3147136      0.78 150263128 179989872        28    191212  13987748      8384      4456    301360
02:22:12 PM  49335804 389365968   1444604      0.37   4007576 326083312   3147136      0.78 150263128 179991136        52    191292  13987844      8384      4456    301376
02:22:17 PM  49333428 389365436   1445188      0.37   4007576 326085088   3147136      0.78 150263128 179993036       160    191392  13987860      8384      4456    301360
02:22:22 PM  49330764 389364800   1445776      0.37   4007576 326087048   3151172      0.78 150263128 179996656        16    193104  13987976      8400      4516    301352
02:22:27 PM  49326036 389361740   1448632      0.37   4007576 326088652   3155708      0.78 150263136 180001088       300    195972  13988244      8448      4688    301392
02:22:32 PM  49324900 389361744   1448604      0.37   4007576 326089784   3147664      0.78 150263128 179997904        24    191644  13988276      8384      4460    301328
02:22:37 PM  49321988 389360356   1449956      0.37   4007576 326091224   3151884      0.78 150263132 180001656       132    193884  13988396      8416      4600    301336
