timestamp,module,event
2024-01-26T00:00:58,topoaa,start
2024-01-26T00:01:03,topoaa,finish
2024-01-26T00:01:04,rigidbody,start
2024-01-26T12:06:49,rigidbody,finish
2024-01-26T12:06:50,caprieval,start
2024-01-26T12:40:30,caprieval,finish
2024-01-26T12:40:32,seletop,start
2024-01-26T12:40:32,seletop,finish
2024-01-26T12:40:32,caprieval,start
2024-01-26T12:42:13,caprieval,finish
2024-01-26T12:42:15,flexref,start
2024-01-26T17:06:22,caprieval,start
2024-01-26T17:06:22,flexref,finish
2024-01-26T17:07:58,caprieval,finish
2024-01-26T17:08:00,emref,start
2024-01-26T17:29:32,emref,finish
2024-01-26T17:29:32,caprieval,start
2024-01-26T17:31:16,caprieval,finish
2024-01-26T17:31:16,clustfcc,start
2024-01-26T17:31:41,clustfcc,finish
2024-01-26T17:31:41,seletopclusts,start
2024-01-26T17:32:14,seletopclusts,finish
2024-01-26T17:32:14,caprieval,start
2024-01-26T17:33:31,caprieval,finish
