Linux 5.15.0-91-generic (gl5) 	02/01/2024 	_x86_64_	(32 CPU)

05:11:03 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
05:11:08 AM 282923804 389732228   1912460      0.48   1571684 104525876   4778108      1.18  46794612  59905544      1264    630984   3924724     10800      6484    280296
05:11:13 AM 282875764 389686176   1958404      0.50   1571684 104527832  10346120      2.57  46794816  59974232       524    697980   3924864      9904      7864    279496
05:11:18 AM 282933564 389744900   1899572      0.48   1571684 104528660   4326296      1.07  46794960  59916040      1324    638976   3925068      9824      6556    279472
05:11:23 AM 282933264 389746440   1898064      0.48   1571684 104530392   4301412      1.07  46795108  59908732       332    630040   3925144      9760      6332    279408
05:11:28 AM 282935656 389750888   1893704      0.48   1571684 104532292   4305632      1.07  46795116  59912920      1480    632456   3925212      9840      6544    279416
05:11:33 AM 282933336 389749468   1895180      0.48   1571684 104533112   4309536      1.07  46795120  59915656       400    634268   3925236      9808      6556    279456
05:11:38 AM 282926328 389743384   1901256      0.48   1571688 104533980   4305632      1.07  46795116  59914576      1376    632344   3925296      9808      6448    279464
05:11:43 AM 282931456 389749356   1895352      0.48   1571688 104534768   4301412      1.07  46795116  59913200       292    630140   3925284      9776      6336    279424
05:11:48 AM 282930864 389749672   1895132      0.48   1571688 104535756   4301412      1.07  46795116  59914192      1228    630160   3925108      9776      6324    279360
05:11:53 AM 282931264 389751112   1893664      0.48   1571688 104536752   4305448      1.07  46795124  59917076       200    632080   3925180      9808      6436    279368
05:11:58 AM 282921764 389743024   1901932      0.48   1571688 104538092   4305764      1.07  46795120  59918776      1372    632416   3925072      9824      6452    279432
05:12:03 AM 282923748 389746024   1898988      0.48   1571688 104539052   4301544      1.07  46795120  59917564       180    630224   3925072      9792      6332    279376
05:12:08 AM 282920684 389744108   1900788      0.48   1571688 104540116   4305448      1.07  46795104  59919540      1136    630808   3925272     10192      6472    279464
05:12:13 AM 282910484 389735180   1909740      0.48   1571688 104541328   4305448      1.07  46795128  59922100       284    632516   3925308      9872      6548    279384
05:12:18 AM 282898084 389723952   1920900      0.49   1571688 104542456   4300900      1.07  46795124  59920996        20    630316   3925420      9792      6340    279296
05:12:23 AM 282902036 389729312   1915532      0.49   1571688 104543720   4309808      1.07  46795132  59925792       572    633840   3925572      9808      6460    279360
05:12:28 AM 282907388 389735896   1909000      0.48   1571688 104544908   4301684      1.07  46795128  59923316       456    630152   3925564      9776      6328    279296
05:12:33 AM 282902612 389732680   1912060      0.48   1571688 104546344   4310124      1.07  46795132  59929052      1564    634520   3925844      9840      6536    279408
05:12:38 AM 282907060 389737884   1907256      0.48   1571688 104547060   4305904      1.07  46795144  59927924       572    632692   3925484      9808      6480    279384
05:12:43 AM 282908048 389739800   1905304      0.48   1571688 104547892   4305904      1.07  46795136  59928576      1388    632480   3925616      9808      6456    279384
05:12:48 AM 282904436 389737212   1907828      0.48   1571688 104548828   4310256      1.07  46795144  59931784       372    634764   3925768      9840      6564    279392
05:12:53 AM 282912684 389746524   1898644      0.48   1571688 104549768   4310256      1.07  46795144  59933232      1540    634788   3925764      9856      6596    279456
05:12:58 AM 282922108 389757052   1888216      0.48   1571688 104550812   4301816      1.07  46795140  59929528       392    630480   3925724      9760      6336    279408
05:13:03 AM 282909964 389746464   1898452      0.48   1571688 104552268   4310256      1.07  46795152  59935688      1532    635252   3926176      9856      6628    279456
05:13:08 AM 282918096 389755564   1889452      0.48   1571688 104553176   4305720      1.07  46795140  59933644       364    632256   3926136      9808      6404    279368
05:13:13 AM 282917892 389756592   1888356      0.48   1571688 104554408   4306036      1.07  46795140  59935284      1392    632636   3926204      9792      6412    279368
05:13:18 AM 282923972 389763836   1881136      0.48   1571688 104555508   4301816      1.07  46795148  59934524       208    630856   3926244      9776      6384    279360
05:13:23 AM 282916500 389757748   1887128      0.48   1571688 104556848   4322612      1.07  46795140  59939612      1328    634532   3926384      9808      6440    279400
05:13:28 AM 282916088 389758448   1886636      0.48   1571688 104557912   4305852      1.07  46795144  59938980       276    632836   3926224      9808      6508    279352
