Linux 5.15.0-91-generic (gl5) 	01/24/2024 	_x86_64_	(32 CPU)

01:09:40 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:13:25 PM 340337380 389273532   2544448      0.64   1471036  48081804 147972724     36.70  21644756  29293636      5272   1414192   2423880     10752     29472    275188
01:13:30 PM 340109620 389047080   2771156      0.70   1471036  48083108 185148752     45.91  21645228  29505408      5316   1624888   2423628     10832     33396    275172
01:13:35 PM 340129732 389071496   2746924      0.70   1471036  48087208 182329884     45.22  21645660  29509724      6852   1625632   2423648     10832     33356    275124
01:13:40 PM 340371316 389316688   2501748      0.63   1471036  48090660 147319796     36.53  21645876  29280192      4680   1393052   2423788     10704     29776    275124
01:13:45 PM 340247320 389194208   2624504      0.66   1471036  48092068 148729000     36.88  21646376  29386840      4816   1498132   2423620     10768     30456    275252
01:13:50 PM 340098156 389049356   2769584      0.70   1471036  48096324 181460856     45.00  21646844  29488532      6004   1596056   2423448     10800     33028    275220
01:13:55 PM 340272484 389227652   2590572      0.66   1471036  48100160 157313796     39.01  21647128  29340256      6096   1445116   2424296     10752     29928    275204
01:14:00 PM 340312648 389270476   2547828      0.65   1471040  48102848 147971172     36.69  21647500  29286648      4452   1388868   2424184     10736     29520    275188
01:14:05 PM 340246296 389206696   2611824      0.66   1471040  48105588 156265936     38.75  21647984  29377536      5356   1477408   2423800     10816     30188    275396
01:14:10 PM 340122044 389084868   2733488      0.69   1471044  48107996 185139528     45.91  21648408  29529872      6360   1627216   2423976     10832     33412    275348
01:14:15 PM 340302204 389269496   2548216      0.65   1471048  48112368 152569904     37.84  21648752  29337268      5652   1431516   2424712     10784     29096    275332
01:14:20 PM 340132036 389101676   2716612      0.69   1471048  48114648 182344848     45.22  21649276  29508800      5492   1601448   2424204     10816     32772    275316
01:14:25 PM 340185492 389157588   2659468      0.67   1471048  48117128 167380608     41.51  21649560  29449236      5804   1538580   2425412     10816     31236    275284
01:14:30 PM 340313944 389290356   2526992      0.64   1471052  48121348 151692688     37.62  21649944  29331808      4464   1417672   2425212     10768     29364    275284
01:14:35 PM 340215232 389194836   2622508      0.66   1471052  48124364 159109656     39.46  21650440  29417452      5444   1501168   2425392     10816     30344    275300
01:14:40 PM 340238916 389221704   2595252      0.66   1471060  48127320 157171140     38.98  21650840  29380500      4632   1461892   2426000     10784     30064    275188
01:14:45 PM 340088872 389075240   2742112      0.69   1471060  48130544 175826000     43.60  21651300  29516784      5852   1594928   2425960     10832     32812    275252
01:14:50 PM 340108556 389098020   2719260      0.69   1471060  48133588 174960836     43.39  21651668  29493632      5948   1569124   2426084     10832     32328    275188
01:14:55 PM 340240664 389233576   2583536      0.65   1471064  48136848 157328036     39.02  21652040  29364416      5240   1437012   2426436     10736     29896    275220
01:15:00 PM 340150044 389146656   2671124      0.68   1471072  48140344 168418316     41.77  21652568  29449984      5032   1519132   2425964     10816     31308    275252
01:15:05 PM 340215260 389215248   2602520      0.66   1471072  48143592 160141660     39.71  21652620  29378708      5036   1445764   2426104     10768     29368    275300
01:15:10 PM 340228756 389232436   2584884      0.65   1471072  48147180 161225116     39.98  21653056  29390636      4772   1454260   2426656     10768     30012    275220
01:15:15 PM 340060236 389066168   2750744      0.70   1471072  48149424 185152712     45.92  21653536  29581664      7064   1643600   2427072     10864     33748    275300
01:15:20 PM 340033168 389042288   2774508      0.70   1471076  48152428 185150604     45.91  21653964  29573416      6876   1631948   2427368     10896     33428    275300
01:15:25 PM 340099076 389110988   2706144      0.69   1471076  48155204 163647320     40.58  21654244  29492184      6104   1548528   2427048     10816     31864    275268
01:15:30 PM 340330256 389345960   2471948      0.63   1471080  48158936 132158540     32.77  21654480  29267492      4308   1320684   2426328     10736     26832    275268
01:15:35 PM 340107116 389125056   2693156      0.68   1471084  48161024 172094860     42.68  21655080  29492672      5320   1544284   2426168     10832     32112    275268
01:15:40 PM 340164464 389186212   2632024      0.67   1471084  48164768 166656308     41.33  21655364  29436828      6836   1485332   2426208     10864     31504    275156
01:15:45 PM 340308800 389334060   2483940      0.63   1471084  48168064 139722164     34.65  21655700  29263552      4700   1307820   2426660     10752     28288    275204
01:15:50 PM 340078384 389105496   2712208      0.69   1471084  48169748 173023404     42.91  21656232  29529964      5608   1574416   2427124     10832     31592    275332
01:15:55 PM 340054224 389084292   2733988      0.69   1471084  48172580 185148724     45.91  21656592  29594516      6556   1637552   2426672     10864     33536    275300
01:16:00 PM 340256752 389291948   2525960      0.64   1471084  48177616 147081316     36.47  21656920  29352060      5752   1388780   2427136     10752     28884    275252
01:16:05 PM 340051052 389087396   2730276      0.69   1471092  48178732 182339960     45.22  21657432  29597716      5516   1634272   2427396     10864     32572    275300
01:16:10 PM 340024856 389064156   2753088      0.70   1471092  48181468 185143364     45.91  21657792  29599992      6776   1634048   2428044     10864     33452    275396
01:16:15 PM 340355432 389399632   2418252      0.61   1471092  48186468 138822516     34.43  21657992  29272744      4960   1301816   2427304     10736     28056    275300
01:16:20 PM 340238552 389283060   2534560      0.64   1471096  48186684 141303556     35.04  21658444  29416460      4472   1445984   2427656     10768     28648    275252
01:16:25 PM 340075816 389124268   2693696      0.68   1471096  48190424 181451720     45.00  21658968  29572824      5504   1599208   2427516     10816     32632    275364
01:16:30 PM 340206756 389259264   2558540      0.65   1471096  48194364 164042904     40.68  21659212  29446420      6380   1468524   2427792     10864     30948    275332
01:16:35 PM 340132240 389187116   2630368      0.67   1471100  48196544 153462644     38.06  21659640  29438532      4072   1458748   2428296     10768     29480    275300
01:16:40 PM 340057108 389115196   2702304      0.68   1471104  48199696 177773896     44.09  21660100  29554924      6388   1572368   2428336     10816     32236    275284
01:16:45 PM 340106416 389168076   2649532      0.67   1471108  48203136 169328144     41.99  21660468  29539756      6180   1554488   2428356     10816     31644    275268
01:16:50 PM 340115324 389180396   2637604      0.67   1471108  48206320 165581604     41.06  21661000  29523524      5220   1534940   2428192     11024     31892    275220
01:16:55 PM 340085248 389153312   2665084      0.67   1471108  48209072 175826520     43.60  21661372  29585100      5764   1594668   2428036     10864     32500    275156
01:17:00 PM 340171948 389243724   2574260      0.65   1471108  48212796 164508780     40.80  21661800  29475020      5380   1481792   2428436     10752     30372    275076
01:17:05 PM 340224952 389299564   2519612      0.64   1471108  48215692 145746868     36.14  21662156  29401088      5876   1405384   2427184     10608     27728    275060
01:17:10 PM 340364108 389440812   2379032      0.60   1471108  48217660 118353164     29.35  21662424  29279532      5196   1281920   2426640     10528     24548    275012
01:17:15 PM 340603108 389681216   2140424      0.54   1471108  48219076  74260692     18.42  21662652  28990704      3324    991248   2424832     10240     16936    274884
01:17:20 PM 340979832 390058148   1764756      0.45   1471108  48219436   4220816      1.05  21662652  28584384       420    584876   2423416      9808      5924    274564
01:17:25 PM 340993400 390076456   1746536      0.44   1471108  48223652   4225244      1.05  21662652  28593248      1164    589380   2423852      9808      5940    274468
