Linux 5.15.0-91-generic (gl5) 	01/26/2024 	_x86_64_	(32 CPU)

03:54:03 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
03:57:48 AM 326261356 388957048   2812672      0.71   1494368  61500396 185142656     45.91  26937904  37648820      6016   1620308   2789756     10720     32896    277268
03:57:53 AM 326448832 389148316   2621736      0.66   1494372  61504260 151664676     37.61  26938224  37461500      5564   1428944   2789348     10736     28960    277188
03:57:58 AM 326494240 389197332   2573128      0.65   1494372  61507872 142331068     35.30  26938636  37428864      4604   1394156   2788936     10672     28780    277220
03:58:03 AM 326281424 388986296   2785008      0.71   1494372  61509824 185146208     45.91  26939172  37659964      6404   1624444   2787920     10848     32892    277268
03:58:08 AM 326433168 389141944   2630308      0.67   1494376  61513648 167529144     41.55  26939412  37537088      5272   1497232   2787048     10656     30288    277220
03:58:13 AM 326399844 389110952   2660684      0.67   1494376  61515960 172083572     42.67  26939920  37555168      5104   1513164   2787684     10688     30480    277012
03:58:18 AM 326318856 389033848   2736540      0.69   1494376  61519736 172090856     42.68  26940344  37604776      7256   1559280   2789040     10688     31788    277124
03:58:23 AM 326339560 389057468   2713860      0.69   1494376  61522540 175773828     43.59  26940836  37616188      5688   1567596   2788212     10736     32132    277204
03:58:28 AM 326305592 389026824   2744680      0.70   1494376  61525824 185127308     45.91  26941192  37670420      7256   1619316   2788076     10736     32556    277220
03:58:33 AM 326460964 389186140   2584684      0.65   1494376  61529812 161014976     39.93  26941600  37513560      5456   1459300   2788712     10688     30436    277172
03:58:38 AM 326369452 389098052   2672256      0.68   1494376  61533156 165570600     41.06  26942052  37566876      5852   1510248   2789308     10752     30192    277284
03:58:43 AM 326323416 389054540   2716044      0.69   1494376  61535616 175810612     43.60  26942500  37611400      5724   1553448   2789096     10736     31332    277252
03:58:48 AM 326308196 389043012   2728616      0.69   1494376  61539140 165581852     41.06  26942936  37567596      6136   1505300   2788220     10704     30656    277236
03:58:53 AM 326328576 389067052   2704548      0.68   1494376  61542740 174891784     43.37  26943392  37608952      5596   1544172   2788308     10768     31600    277220
03:58:58 AM 326341224 389083536   2688168      0.68   1494380  61546412 169277056     41.98  26943744  37606324      6072   1537212   2788364     10768     31204    277284
03:59:03 AM 326260160 389005216   2766736      0.70   1494380  61549120 181440128     44.99  26944232  37658240      5820   1588508   2788152     10752     32224    277300
03:59:08 AM 326393616 389142340   2628512      0.67   1494380  61552448 161869380     40.14  26944548  37548876      5852   1474936   2789592     10736     29860    277316
03:59:13 AM 326424064 389175580   2595776      0.66   1494380  61555080 149728140     37.13  26944988  37511032      4276   1435392   2789248     10704     29224    277252
03:59:18 AM 326228176 388983108   2789016      0.71   1494380  61558288 181427480     44.99  26945448  37668776      7160   1589548   2788688     10752     32844    277300
03:59:23 AM 326343608 389102156   2668960      0.68   1494380  61561972 158185008     39.23  26945860  37539504      4680   1456876   2789628     10672     29812    277188
03:59:28 AM 326288468 389050684   2719904      0.69   1494380  61565500 172069588     42.67  26946296  37635464      6436   1550156   2790296     10768     31760    277236
03:59:33 AM 326348896 389114320   2656308      0.67   1494380  61568556 161875096     40.14  26946684  37564500      5464   1477172   2790408     10704     30552    277268
03:59:38 AM 326228052 388996452   2774620      0.70   1494380  61571568 179505960     44.52  26947180  37689908      6432   1599172   2789928     10640     31984    277236
03:59:43 AM 326333448 389104776   2666908      0.68   1494380  61574464 170189092     42.20  26947496  37627428      5376   1534844   2789348     10752     31152    277172
03:59:48 AM 326427520 389202404   2568976      0.65   1494380  61578024 160104120     39.70  26947892  37529160      4920   1434624   2789648     10720     29168    277300
03:59:53 AM 326304564 389082996   2687584      0.68   1494380  61581528 174910472     43.38  26948356  37644344      6192   1545472   2790492     10736     31420    277332
03:59:58 AM 326331428 389112964   2657368      0.67   1494384  61584540 170356916     42.25  26948800  37600064      5428   1498276   2790828     10752     30768    277396
