timestamp,module,event
2024-01-21 21:07:19,topoaa,start
2024-01-21 21:07:26,topoaa,finish
2024-01-21 21:07:27,rigidbody,start
2024-01-22 04:03:17,rigidbody,finish
2024-01-22 04:03:19,caprieval,start
2024-01-22 04:30:39,caprieval,finish
2024-01-22 04:30:40,seletop,start
2024-01-22 04:30:40,seletop,finish
2024-01-22 04:30:40,caprieval,start
2024-01-22 04:31:47,caprieval,finish
2024-01-22 04:31:48,flexref,start
2024-01-22 06:59:14,caprieval,start
2024-01-22 06:59:14,flexref,finish
2024-01-22 07:00:22,caprieval,finish
2024-01-22 07:00:24,emref,start
2024-01-22 07:12:55,emref,finish
2024-01-22 07:12:56,caprieval,start
2024-01-22 07:14:23,caprieval,finish
2024-01-22 07:14:23,clustfcc,start
2024-01-22 07:14:52,clustfcc,finish
2024-01-22 07:14:52,seletopclusts,start
2024-01-22 07:15:39,seletopclusts,finish
2024-01-22 07:15:39,caprieval,start
2024-01-22 07:16:50,caprieval,finish
