Linux 5.15.0-91-generic (gl5) 	01/19/2024 	_x86_64_	(32 CPU)

01:58:26 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
02:02:16 PM 382894384 390380632   1578868      0.40   1223872   7811184   4171568      1.03   4099840   5474340      1136    567444   1350240      9600      5484    267440
02:02:21 PM 382893200 390381508   1577980      0.40   1223876   7813120   4171568      1.03   4099840   5476340       280    567512   1350372      9616      5520    267440
02:02:26 PM 382883720 390374208   1585100      0.40   1223884   7815172   4171568      1.03   4099856   5478252      1112    567404   1350672      9616      5520    267424
02:02:31 PM 382881388 390373876   1585448      0.40   1223888   7817084   4171700      1.03   4099856   5480236       288    567480   1350740      9616      5520    267440
02:02:36 PM 382878408 390373096   1586064      0.40   1223896   7819276   4171700      1.03   4099868   5482520       900    567552   1350904      9584      5488    267456
02:02:41 PM 382876060 390372756   1586460      0.40   1223904   7821192   4171700      1.03   4099868   5484496       220    567632   1350932      9552      5456    267456
02:02:46 PM 382867092 390365720   1593400      0.40   1223908   7823144   4171700      1.03   4099884   5486484       848    567540   1351004      9600      5448    267424
02:02:51 PM 382866924 390367828   1591192      0.40   1223916   7825296   4171832      1.03   4099896   5488632       172    567636   1351220      9616      5484    267392
02:02:56 PM 382866472 390369424   1589660      0.40   1223924   7827276   4171832      1.03   4099904   5490768       476    567788   1351216      9616      5524    267424
02:03:01 PM 382865480 390370352   1588896      0.40   1223936   7829100   4171832      1.03   4099904   5492612       180    567812   1351136      9600      5492    267376
02:03:06 PM 382873036 390380172   1578920      0.40   1223944   7831184   4171964      1.03   4099916   5494476       720    567928   1351464      9936      5656    267376
02:03:11 PM 382870788 390380212   1578896      0.40   1223944   7833356   4171964      1.03   4099928   5497020         8    567900   1351564      9584      5484    267376
02:03:16 PM 382870716 390382452   1576780      0.40   1223944   7835512   4171964      1.03   4099944   5499532       392    567816   1351596      9696      5280    267408
02:03:21 PM 382884132 390397796   1561468      0.40   1223952   7837352   4172096      1.03   4099936   5501096        12    568036   1351644      9600      5524    267344
02:03:26 PM 382884020 390399784   1559516      0.39   1223960   7839292   4171312      1.03   4099948   5502852       356    567804   1351760      9552      5416    267280
02:03:31 PM 382884912 390402916   1556624      0.39   1223964   7841428   4172096      1.03   4099956   5505188       704    568056   1351620      9584      5484    267328
02:03:36 PM 382883008 390403088   1556400      0.39   1223972   7843376   4172228      1.03   4099972   5507172       352    568100   1351792      9568      5484    267328
02:03:41 PM 382882788 390404948   1554468      0.39   1223972   7845360   4172228      1.03   4099968   5509192       736    568168   1351960      9568      5520    267328
02:03:46 PM 382879876 390404304   1555104      0.39   1223972   7847476   4172228      1.03   4099972   5511364       356    568188   1352120      9536      5488    267280
02:03:51 PM 382874948 390400968   1558460      0.39   1223980   7849008   4172360      1.03   4099976   5513004       768    568336   1352152      9552      5516    267312
02:03:56 PM 382872744 390401124   1558452      0.39   1223988   7851188   4172360      1.03   4099992   5515140       344    568256   1352176      9536      5484    267296
02:04:01 PM 382883860 390414280   1545504      0.39   1224000   7853140   4172360      1.03   4099992   5517100       784    568292   1352044      9536      5488    267296
02:04:06 PM 382882748 390415420   1544128      0.39   1224008   7855244   4172360      1.03   4100012   5519180       340    568232   1352420      9472      5388    267280
02:04:11 PM 382875324 390410132   1549728      0.39   1224016   7857184   4172492      1.03   4100016   5521864       840    568984   1352296      9536      5520    267296
02:04:16 PM 382872596 390409556   1550260      0.39   1224020   7859184   4172492      1.03   4100032   5523560       252    568656   1352488      9520      5452    267280
02:04:21 PM 382865032 390403980   1555760      0.39   1224024   7861028   4172492      1.03   4100032   5525340       616    568612   1352704      9472      5388    267296
02:04:26 PM 382863140 390404232   1555728      0.39   1224032   7863024   4172904      1.03   4100032   5527512       196    568832   1352624      9600      5592    267312
02:04:31 PM 382868720 390412044   1547848      0.39   1224032   7865136   4172904      1.03   4100040   5529828       668    569012   1352812      9616      5632    267328
02:04:36 PM 382866592 390412096   1547792      0.39   1224036   7867188   4172904      1.03   4100052   5532028       196    569096   1352940      9568      5552    267312
02:04:41 PM 382862196 390409640   1550036      0.39   1224040   7868996   4172904      1.03   4100052   5533816       648    569124   1353280      9488      5428    267296
02:04:46 PM 382859884 390409160   1550432      0.39   1224052   7870792   4173292      1.03   4100052   5536132       176    569740   1353388      9552      5516    267312
02:04:51 PM 382856184 390407100   1552604      0.39   1224060   7872236   4173292      1.03   4100076   5536980       572    568536   1353464      9760      5088    267296
02:04:56 PM 382855840 390408400   1551476      0.39   1224072   7873952   4173292      1.03   4100072   5539004        24    569380   1353208      9536      5456    267296
02:05:01 PM 382848900 390403480   1556444      0.39   1224080   7875812   4173292      1.03   4100104   5542048         0    570664   1353312      9920      5296    267312
02:05:06 PM 382847548 390404228   1555384      0.39   1224092   7877884   4173680      1.04   4100100   5543136         0    569588   1353640      9504      5428    267280
02:05:11 PM 382847256 390406128   1553524      0.39   1224096   7879876   4172896      1.03   4100112   5545132         0    569520   1353796      9456      5368    267232
02:05:16 PM 382843628 390404664   1555172      0.39   1224100   7881960   4173680      1.04   4100124   5547476      1080    569900   1353688      9504      5464    267280
02:05:21 PM 382842684 390405628   1554208      0.39   1224104   7883740   4173812      1.04   4100124   5549304       300    569852   1353812      9552      5524    267248
02:05:26 PM 382834956 390399996   1559512      0.39   1224112   7885668   4174068      1.04   4100128   5551452       392    570124   1354300      9568      5588    267264
