Linux 5.15.0-91-generic (gl5) 	01/28/2024 	_x86_64_	(32 CPU)

05:25:15 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
05:29:00 PM 306300932 389436184   2274012      0.58   1562028  81365580  94756848     23.50  36089968  47906176      4036   1097284   3355996     10288     19304    279188
05:29:05 PM 306323836 389461452   2248856      0.57   1562028  81367896  88242580     21.88  36090304  47872760      2748   1061788   3355932     10288     18496    279076
05:29:10 PM 306264436 389404712   2304952      0.58   1562028  81370488  94757728     23.50  36090568  47926700      3296   1112864   3356644     10624     19000    279092
05:29:15 PM 306255072 389397796   2313204      0.59   1562032  81372872  97581952     24.20  36090932  47938496      3848   1123356   3355368     10368     20064    279092
05:29:20 PM 306265764 389411136   2300400      0.58   1562032  81375444  94776764     23.50  36091292  47930084      2760   1112608   3354908     10240     19644    279060
05:29:25 PM 306282424 389430240   2280464      0.58   1562032  81377792  91061164     22.58  36091584  47902508      2924   1081432   3355836     10352     18960    279028
05:29:30 PM 306255324 389405380   2306064      0.58   1562032  81380064  93883592     23.28  36091856  47910328      3264   1088660   3355064     10288     19592    279076
05:29:35 PM 306308308 389461476   2248368      0.57   1562032  81383204  91073880     22.59  36092240  47911348      4304   1086608   3356636     10352     19500    279076
05:29:40 PM 306329188 389484704   2225732      0.56   1562032  81385552  93898008     23.29  36092548  47917492      3496   1091020   3356044     10304     18980    279092
05:29:45 PM 306319208 389476952   2234236      0.57   1562032  81387776  93893944     23.28  36092848  47915264      3996   1087056   3355296     10336     19600    279092
05:29:50 PM 306296920 389457472   2253708      0.57   1562032  81390572  93883024     23.28  36093220  47917536      3148   1087300   3355316     10336     18964    279092
05:29:55 PM 306250720 389413424   2297448      0.58   1562032  81392704  94778100     23.50  36093520  47951704      4576   1118692   3355644     10352     19540    279012
05:30:00 PM 306283332 389448572   2261820      0.57   1562032  81395216  93897324     23.29  36093844  47920404      3164   1085152   3356148     10288     19112    279124
05:30:05 PM 306257528 389424900   2286024      0.58   1562032  81397596  97590020     24.20  36094172  47957600      4536   1120896   3355368     10352     19896    279108
05:30:10 PM 306284344 389453984   2257536      0.57   1562032  81399844  93886992     23.28  36094188  47926408      2988   1087224   3354792     10336     19120    278996
05:30:15 PM 306345156 389517276   2193200      0.56   1562032  81402244  87382448     21.67  36094464  47880240      4504   1039224   3355916     10320     18348    279140
05:30:20 PM 306273124 389447784   2263428      0.57   1562032  81404772  94765788     23.50  36094844  47956632      3404   1112876   3355192     10336     19592    279108
05:30:25 PM 306292708 389470152   2240992      0.57   1562032  81407508  93892596     23.28  36095164  47935188      4332   1089468   3355308     10352     19424    279108
05:30:30 PM 306300520 389480340   2230256      0.56   1562032  81409996  93888484     23.28  36095504  47938512      3480   1090736   3355744     10336     19432    279124
05:30:35 PM 306239568 389421764   2289596      0.58   1562032  81412204  97596668     24.20  36095792  47970908      3432   1120644   3355148     10352     19812    279092
05:30:40 PM 306233716 389418496   2292256      0.58   1562032  81414748  91957932     22.80  36096120  47958716      2772   1106844   3355796     10256     19048    279092
05:30:45 PM 306203604 389391000   2319256      0.59   1562032  81417380  94767308     23.50  36096444  47970868      3772   1116208   3356276     10304     19136    279124
05:30:50 PM 306282196 389472492   2237936      0.57   1562036  81420192  87388020     21.67  36096732  47916088      2888   1059280   3356188     10304     18724    279108
05:30:55 PM 306231564 389423968   2287388      0.58   1562036  81422256  93891340     23.28  36097096  47947972      3736   1089356   3355304     10496     19492    279172
05:31:00 PM 306247080 389441520   2270128      0.57   1562036  81424288  91943200     22.80  36097416  47956288      2476   1095544   3355016     10336     19228    279124
05:31:05 PM 306307148 389504508   2206040      0.56   1562036  81427228  86491760     21.45  36097644  47890024      3244   1027180   3356096     10400     18252    279044
05:31:10 PM 306228648 389428048   2283476      0.58   1562036  81429196  97593252     24.20  36098048  47981788      4116   1116948   3355192     10336     19748    279108
05:31:15 PM 306348288 389551520   2160336      0.55   1562040  81432972  75219592     18.65  36098288  47869180      2140   1001124   3354912     10240     16604    279124
05:31:20 PM 306256840 389461532   2250104      0.57   1562040  81434332  97585752     24.20  36098616  47991304      3968   1121756   3355232     10320     19632    279140
05:31:25 PM 306320680 389527772   2184468      0.55   1562040  81436624  88249452     21.88  36098980  47924148      2896   1053232   3354736     10336     18224    279076
05:31:30 PM 306274356 389484224   2228332      0.56   1562040  81439392  87374968     21.67  36099260  47932288      3848   1058936   3354428     10288     18648    279108
05:31:35 PM 306222040 389433816   2278508      0.58   1562040  81441308  94753068     23.50  36099600  47992624      3280   1117704   3354652     10304     19728    279044
05:31:40 PM 306231776 389446508   2265168      0.57   1562040  81444388  91086432     22.59  36099884  47963048      3308   1085196   3355176     10320     18844    279140
05:31:45 PM 306303356 389520180   2190780      0.55   1562040  81446436  81935264     20.32  36100164  47930296      2836   1050528   3355936     10368     17848    279076
05:31:50 PM 306225780 389444704   2266044      0.57   1562040  81448480  94773412     23.50  36100488  47996724      3852   1115376   3356204     10288     19268    279092
05:31:55 PM 306258452 389479372   2232648      0.57   1562040  81450464  91952320     22.80  36100792  47980848      2808   1097488   3354944     10320     18984    279060
05:32:00 PM 306292280 389515960   2195572      0.56   1562040  81453152  87368888     21.67  36101048  47919172      2776   1033868   3355504     10224     18556    279012
05:32:05 PM 306208204 389434464   2277224      0.58   1562040  81455672  97580016     24.20  36101356  48008880      3584   1121328   3355408     10336     19600    279044
05:32:10 PM 306207884 389436916   2275004      0.58   1562040  81458184  94789540     23.51  36101728  47993448      3928   1103708   3355436     10304     19776    279140
05:32:15 PM 306355216 389586464   2125164      0.54   1562040  81460372  70845300     17.57  36101932  47833548      2156    941620   3355756     10240     16788    279092
05:32:20 PM 306184532 389417732   2293776      0.58   1562040  81462280  97585556     24.20  36102256  48015616      4068   1122164   3355920     10320     19916    279108
05:32:25 PM 306187380 389422832   2288588      0.58   1562040  81464532  94771200     23.50  36102544  47998384      2720   1103236   3356008     10352     19596    279092
05:32:30 PM 306246500 389484692   2226312      0.56   1562040  81467264  88271004     21.89  36102828  47947476      3584   1049808   3356432     10288     18308    279124
05:32:35 PM 306198300 389438356   2273224      0.58   1562040  81469076  94781928     23.50  36103172  48016972      3096   1117668   3355908     10304     19764    279108
05:32:40 PM 306199132 389441592   2270168      0.57   1562040  81471432  91939656     22.80  36103472  47997136      3592   1095764   3355776     10432     18472    279044
05:32:45 PM 306207336 389452640   2259188      0.57   1562040  81474212  91094764     22.59  36103820  47995632      2844   1091832   3355772     10336     19420    279020
05:32:50 PM 306228276 389476584   2235384      0.57   1562040  81477212  87371964     21.67  36104092  47965196      2980   1057852   3355636     10352     18360    279092
05:32:55 PM 306230580 389481188   2229888      0.56   1562040  81479408  89126720     22.10  36104420  47984416      3276   1075996   3356632     10272     18016    279092
05:33:00 PM 306212236 389464668   2246748      0.57   1562040  81481204  94760440     23.50  36104728  48008632      3040   1098964   3356320     10304     19104    279060
05:33:05 PM 306229712 389485020   2226092      0.56   1562040  81483912  93883700     23.28  36104992  48006136      3980   1093776   3356792     10304     19200    279044
05:33:10 PM 306182520 389440216   2271260      0.58   1562040  81486300  97586656     24.20  36105400  48036760      3580   1122640   3356428     10288     19904    279044
05:33:15 PM 306243036 389503368   2207500      0.56   1562044  81488740  84558452     20.97  36105592  47957056      4228   1040400   3357228     10288     18592    279092
05:33:20 PM 306201884 389464232   2246168      0.57   1562044  81490688  91961212     22.81  36105960  48017732      3236   1099268   3357764     10288     19232    279044
05:33:25 PM 306252808 389517096   2194248      0.56   1562044  81492372  81742900     20.27  36106192  47951976      3152   1032352   3357076     10352     18452    279076
05:33:30 PM 306160032 389427076   2283444      0.58   1562044  81495168  94761492     23.50  36106516  48025600      3288   1103060   3357860     10288     18836    279044
05:33:35 PM 306155648 389425656   2284520      0.58   1562044  81497956  91080316     22.59  36106888  48012336      4044   1086664   3358380     10320     18992    279076
05:33:40 PM 306155896 389428192   2282744      0.58   1562044  81500176  90187952     22.37  36107076  47992880      3560   1065768   3357688     10272     18916    279124
05:33:45 PM 306158744 389432580   2278740      0.58   1562044  81501696  91767632     22.76  36107420  48014232      3920   1086656   3357324     10272     18972    279092
05:33:50 PM 306241016 389517740   2193048      0.56   1562044  81504568  73977064     18.35  36107628  47959088      2368   1028724   3357872     10240     16792    279060
05:33:55 PM 306151928 389430228   2279652      0.58   1562044  81506068  91735764     22.75  36107900  48018384      4240   1086480   3358856     10256     18880    279156
