timestamp,module,event
2024-01-28T17:25:24,topoaa,start
2024-01-28T17:25:33,topoaa,finish
2024-01-28T17:25:34,rigidbody,start
2024-01-28T17:34:50,rigidbody,finish
2024-01-28T17:34:50,seletop,start
2024-01-28T17:34:51,seletop,finish
2024-01-28T17:34:51,caprieval,start
2024-01-28T17:35:22,caprieval,finish
2024-01-28T17:35:23,flexref,start
2024-01-28T17:50:01,flexref,finish
2024-01-28T17:50:01,caprieval,start
2024-01-28T17:50:26,caprieval,finish
2024-01-28T17:50:27,emref,start
2024-01-28T17:52:12,emref,finish
2024-01-28T17:52:12,caprieval,start
2024-01-28T17:52:37,caprieval,finish
