Linux 5.15.30-2-pve (superserver2) 	02/01/2024 	_x86_64_	(32 CPU)

01:36:51 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:40:41 AM 294432720 389033036   2549280      0.65    858616  93472724   6621208      1.64  65714568  29489700        88   1038956   3560444      9680     10128    863092
01:40:46 AM 294429028 389031604   2550772      0.65    858616  93474856   6636088      1.65  65714568  29496888       148   1044008   3560512      9712     10240    863148
01:40:51 AM 294430144 389034624   2547752      0.65    858616  93476624   6622608      1.64  65714564  29494240        68   1039616   3560648      9696     10176    863092
01:40:56 AM 294429540 389035924   2546308      0.64    858616  93478428   6621340      1.64  65714564  29495544       256   1039076   3560892      9680     10124    863092
01:41:01 AM 294428868 389036744   2545468      0.64    858616  93479856   6621340      1.64  65714564  29496972       100   1039092   3560976      9696     10128    863140
01:41:06 AM 294425628 389035592   2546828      0.64    858616  93481792   6621472      1.64  65714560  29499048        28   1039192   3560920      9680     10392    863124
01:41:11 AM 294426172 389037948   2544464      0.64    858616  93483504   6621472      1.64  65714564  29500744       244   1039204   3561028      9696     10132    863124
01:41:16 AM 294427200 389041312   2541036      0.64    858616  93485744   6624008      1.64  65714568  29504140        48   1040348   3561188      9760     10744    863148
01:41:21 AM 294427840 389043808   2538492      0.64    858616  93487488   6621604      1.64  65714560  29504848       268   1039316   3561348      9728     10156    863140
01:41:26 AM 294425848 389043568   2538704      0.64    858616  93489144   6621604      1.64  65714560  29506940        24   1039720   3561472      9744     10600    863124
01:41:31 AM 294423936 389043668   2538812      0.64    858616  93491056   6621604      1.64  65714568  29508468       204   1039336   3561364      9696     10096    863124
01:41:36 AM 294420264 389042456   2539860      0.64    858616  93493320   6624428      1.64  65714592  29512560       212   1041152   3561724      9808     11092    863180
01:41:41 AM 294422060 389045932   2536476      0.64    858616  93494896   6621736      1.64  65714568  29512428        32   1039464   3561736      9760     10180    863156
01:41:46 AM 294419084 389044480   2537728      0.64    858616  93496328   6624272      1.64  65714568  29515028       104   1040668   3562028      9792     10292    863180
01:41:51 AM 294417664 389045120   2537036      0.64    858616  93498268   6621736      1.64  65714568  29515860       212   1039528   3562200      9744     10152    863172
01:41:56 AM 294414444 389043640   2538848      0.64    858616  93499896   6621880      1.64  65714568  29517416        80   1039500   3561980      9696     10144    863108
01:42:01 AM 294410028 389041372   2541028      0.64    858616  93501888   6624704      1.64  65714568  29520920        68   1041004   3562224      9696     10180    863180
01:42:06 AM 294404060 389037372   2544564      0.64    858616  93503740   6621880      1.64  65714560  29522004       180   1040204   3562804      9744     10384    863060
01:42:11 AM 294402868 389038204   2543744      0.64    858616  93505620   6621880      1.64  65714564  29523276       100   1039588   3562936      9712     10112    863076
01:42:16 AM 294402964 389039664   2542228      0.64    858616  93506912   6622012      1.64  65714568  29524612        56   1039708   3563064      9712     10152    863092
01:42:21 AM 294401480 389039624   2542256      0.64    858620  93508260   6622012      1.64  65714572  29526052       216   1039736   3563168      9744     10180    863108
01:42:26 AM 294398156 389038136   2543752      0.64    858620  93509968   6624836      1.64  65714572  29528992       244   1041056   3563288      9712     10492    863148
01:42:31 AM 294399464 389041324   2540676      0.64    858620  93511720   6622012      1.64  65714572  29529620       116   1039840   3563304      9744     10180    863124
01:42:36 AM 294400056 389043472   2538604      0.64    858620  93513176   6634224      1.65  65714576  29534708        72   1043512   3563328      9728     10460    863124
01:42:41 AM 294399120 389044540   2537596      0.64    858620  93515084   6622168      1.64  65714572  29533052        88   1039908   3563364      9760     10204    863124
01:42:46 AM 294392600 389039384   2542648      0.64    858620  93516376   6624992      1.64  65714564  29535836       164   1041508   3563540      9760     10252    863164
01:42:51 AM 294393640 389041968   2540140      0.64    858620  93517812   6622168      1.64  65714572  29535772        72   1039904   3563572      9728     10152    863124
01:42:56 AM 294394716 389044800   2537600      0.64    858620  93519468   6622168      1.64  65714572  29537812        16   1040332   3563380      9680     10428    863092
01:43:01 AM 294392228 389044492   2537604      0.64    858620  93521516   6622300      1.64  65714576  29539680       192   1040132   3563816      9728     10168    863108
01:43:06 AM 294385744 389039596   2542684      0.64    858620  93523008   6622300      1.64  65714568  29541092        48   1040132   3563728      9712     10436    863076
01:43:11 AM 294382056 389037864   2544132      0.64    858620  93524832   6625124      1.64  65714572  29544380       336   1041524   3564144      9728     10240    863100
01:43:16 AM 294382132 389039232   2542836      0.64    858620  93526072   6622432      1.64  65714564  29544056        60   1039960   3564124      9632     10108    863108
01:43:21 AM 294380444 389039696   2541988      0.64    858620  93528064   6622432      1.64  65714572  29546264       100   1040124   3564668      9696     10120    863076
01:43:26 AM 294378760 389039564   2542716      0.64    858620  93529524   6622432      1.64  65714568  29547604        32   1040028   3564164      9632     10108    863092
01:43:31 AM 294376076 389038888   2543208      0.64    858620  93531380   6625256      1.64  65714572  29551088       116   1041660   3564500      9728     10232    863116
01:43:36 AM 294376932 389041684   2540644      0.64    858620  93533204   6622564      1.64  65714564  29551676        36   1040384   3564384      9664     10620    863108
