Linux 5.15.0-91-generic (gl5) 	01/26/2024 	_x86_64_	(32 CPU)

06:30:45 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
06:34:35 AM 325210496 389877232   1890648      0.48   1541848  63307736   4287532      1.06  27718348  37734712       188    631776   2907820      9792      6288    276716
06:34:40 AM 325210208 389879088   1888728      0.48   1541848  63309736   4287532      1.06  27718352  37736840        24    631892   2908028      9824      6364    276684
06:34:45 AM 325210224 389881000   1886804      0.48   1541848  63311556   4287532      1.06  27718352  37738656       184    631924   2908116      9792      6296    276684
06:34:50 AM 325209192 389881788   1885908      0.48   1541848  63313344   4287532      1.06  27718352  37740572        32    632000   2908256      9792      6304    276620
06:34:55 AM 325207244 389881728   1885940      0.48   1541856  63315148   4287664      1.06  27718352  37742164       396    631832   2908360      9792      6300    276636
06:35:00 AM 325198388 389874632   1893088      0.48   1541856  63316948   4287664      1.06  27718364  37744064      1380    631900   2908268      9776      6296    276604
06:35:05 AM 325198136 389876072   1891888      0.48   1541856  63318560   4289616      1.06  27718368  37747280       512    633572   2908108      9792      6360    276620
06:35:10 AM 325198272 389878124   1890016      0.48   1541856  63320372   4289616      1.06  27718368  37749216      1440    633648   2908032      9792      6364    276684
06:35:15 AM 325195124 389876756   1891380      0.48   1541856  63322056   4289748      1.06  27718368  37750940       388    633708   2908132      9792      6368    276668
06:35:20 AM 325205720 389889352   1878720      0.48   1541856  63323944   4289748      1.06  27718372  37752932      1364    633792   2908308      9776      6368    276620
06:35:25 AM 325204604 389890292   1877760      0.48   1541856  63325908   4291700      1.06  27718376  37756580       380    635468   2908420      9792      6420    276620
06:35:30 AM 325209420 389896912   1871124      0.47   1541860  63327584   4289888      1.06  27718372  37756732      1392    633896   2908560      9776      6368    276684
06:35:35 AM 325206928 389896172   1871796      0.47   1541860  63329248   4289888      1.06  27718380  37758344       216    633920   2908716      9776      6368    276716
06:35:40 AM 325203220 389894568   1873372      0.47   1541860  63331288   4287936      1.06  27718376  37758844      1300    632352   2908808      9760      6312    276668
06:35:45 AM 325203608 389896844   1871152      0.47   1541860  63333028   4287936      1.06  27718380  37760600       208    632388   2908900      9760      6308    276668
06:35:50 AM 325205232 389900168   1867824      0.47   1541860  63334668   4291860      1.06  27718380  37764556       448    633744   2908964     10064      6400    276676
06:35:55 AM 325194816 389892024   1876364      0.48   1541860  63336816   4288068      1.06  27718384  37764452       268    632460   2908692      9760      6304    276652
06:36:00 AM 325198012 389897228   1871212      0.47   1541860  63338700   4288068      1.06  27718384  37766468       200    632528   2908764      9760      6308    276604
06:36:05 AM 325199396 389900156   1868532      0.47   1541860  63340164   4288200      1.06  27718084  37768152       196    632544   2908596      9744      6308    276604
06:36:10 AM 325200456 389903068   1865680      0.47   1541860  63341908   4288200      1.06  27718084  37769932       200    632584   2908644      9744      6300    276604
06:36:15 AM 325213652 389918276   1850408      0.47   1541860  63343816   4288200      1.06  27718088  37771852       152    632576   2908812      9712      6244    276636
06:36:20 AM 325214788 389921340   1847452      0.47   1541860  63345620   4288200      1.06  27718092  37773704       172    632652   2908828      9728      6308    276604
06:36:25 AM 325210428 389918748   1850060      0.47   1541860  63347292   4288332      1.06  27718092  37775456       180    632692   2908908      9696      6304    276636
06:36:30 AM 325209908 389919936   1848936      0.47   1541860  63348892   4292236      1.06  27718096  37778908       160    634592   2908952      9744      6432    276644
06:36:35 AM 325215844 389927896   1840916      0.47   1541860  63350840   4288332      1.06  27718100  37779132        24    632868   2909088      9712      6352    276668
06:36:40 AM 325215460 389929404   1839372      0.47   1541860  63352644   4288472      1.06  27718096  37780916       488    632812   2909212      9712      6312    276604
06:36:45 AM 325208840 389924660   1843900      0.47   1541860  63354396   4288472      1.06  27718096  37782664      1400    632828   2909552      9712      6304    276668
06:36:50 AM 325208216 389926192   1842308      0.47   1541860  63356472   4288472      1.06  27718100  37784744       544    632868   2909692      9712      6300    276652
06:36:55 AM 325199248 389918952   1849640      0.47   1541860  63358248   4288472      1.06  27718096  37786616      1276    632912   2909552      9696      6300    276604
06:37:00 AM 325199800 389921116   1847444      0.47   1541860  63359772   4288860      1.06  27718100  37788184       184    632944   2909672      9696      6304    276588
06:37:05 AM 325193152 389916492   1851900      0.47   1541864  63361668   4288860      1.06  27718108  37790184      1292    633048   2909964      9712      6304    276604
06:37:10 AM 325193640 389918760   1849632      0.47   1541864  63363360   4288860      1.06  27718108  37791972       216    633148   2910052      9712      6308    276604
06:37:15 AM 325195424 389922352   1845924      0.47   1541868  63365064   4288860      1.06  27718116  37793484      1244    633524   2910268      9776      6108    276620
06:37:20 AM 325194988 389923980   1844320      0.47   1541868  63367120   4288996      1.06  27718116  37795868       220    633336   2910252      9696      6308    276604
06:37:25 AM 325192016 389923292   1845276      0.47   1541868  63369300   4293156      1.06  27718116  37799752      1320    635084   2910088      9744      6460    276708
06:37:30 AM 325190176 389923232   1845428      0.47   1541868  63370964   4290104      1.06  27718116  37799700       284    633304   2910112      9680      6316    276620
06:37:35 AM 325183720 389918896   1849816      0.47   1541868  63372956   4289404      1.06  27718116  37801964       428    633172   2910188      9696      6312    276588
06:37:40 AM 325180920 389917852   1850780      0.47   1541868  63374628   4289384      1.06  27718120  37803584       180    633476   2910352      9696      6308    276588
06:37:45 AM 325178240 389916972   1851696      0.47   1541868  63376320   4289640      1.06  27718124  37805360       188    633576   2910424      9680      6308    276572
06:37:50 AM 325178064 389918840   1849712      0.47   1541868  63378260   4289640      1.06  27718120  37807404       160    633672   2910644      9680      6308    276540
06:37:55 AM 325176416 389919148   1849352      0.47   1541868  63380116   4289772      1.06  27718124  37809376        12    633776   2910796      9680      6304    276572
06:38:00 AM 325168980 389913548   1854788      0.47   1541868  63381816   4293992      1.06  27718128  37813312      1540    636076   2911096      9680      6432    276580
06:38:05 AM 325169996 389916356   1852016      0.47   1541868  63383504   4290028      1.06  27718128  37812940       460    633972   2911164      9648      6304    276508
06:38:10 AM 325169724 389918224   1850048      0.47   1541868  63385556   4290172      1.06  27718128  37815040      1376    634068   2911352      9664      6304    276524
06:38:15 AM 325168364 389918732   1849528      0.47   1541868  63387300   4290172      1.06  27718132  37816900       212    634140   2911488      9664      6304    276540
06:38:20 AM 325167972 389920372   1848032      0.47   1541868  63389240   4290172      1.06  27718128  37818916      1276    634244   2911436      9664      6308    276556
06:38:25 AM 325167828 389922200   1846176      0.47   1541868  63391088   4292380      1.06  27718136  37822424       232    635936   2911588      9680      6360    276588
06:38:30 AM 325166116 389922784   1845716      0.47   1541868  63393208   4292512      1.06  27718140  37824624      1272    636048   2911640      9696      6368    276620
06:38:35 AM 325167232 389925688   1842828      0.47   1541868  63394900   4290560      1.06  27718136  37824820       276    634476   2911720      9680      6308    276604
06:38:40 AM 325159452 389920016   1848476      0.47   1541868  63396752   4290560      1.06  27718136  37826748      1300    634580   2912000      9696      6304    276668
06:38:45 AM 325173512 389936076   1832528      0.46   1541868  63398632   4290560      1.06  27718140  37828768       176    634688   2912008      9696      6308    276636
06:38:50 AM 325169212 389934196   1834504      0.46   1541868  63400844   4290948      1.06  27718140  37831052      1256    634796   2912120      9680      6312    276620
