Linux 5.15.0-91-generic (gl5) 	01/24/2024 	_x86_64_	(32 CPU)

02:30:48 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
02:30:53 PM 340554988 390116732   1704536      0.43   1472012  48687952   4694016      1.16  21795048  28919848      1432    583376   2439060     10656      6156    275252
02:30:58 PM 340550552 390114588   1706676      0.43   1472012  48690208   4697256      1.16  21795092  28923136       268    584248   2439100     10640      6164    275236
02:31:03 PM 340468616 390034964   1786396      0.45   1472012  48692472  15417928      3.82  21796040  29023156      1884    683160   2439052      9776      9396    274468
02:31:08 PM 340515432 390083228   1738472      0.44   1472012  48693916  12397904      3.07  21796916  28992504       500    651892   2438716      9728      8056    274356
02:31:13 PM 340565484 390133768   1687972      0.43   1472012  48694452   4221304      1.05  21797056  28925196      1172    584116   2438628      9664      6072    274340
02:31:18 PM 340567672 390137320   1684428      0.43   1472012  48695724   4221304      1.05  21797060  28926496       264    584124   2438712      9664      6068    274340
02:31:23 PM 340564568 390135704   1686064      0.43   1472016  48697160   4225576      1.05  21797096  28930104      1248    586388   2438740      9696      6188    274348
02:31:28 PM 340565904 390138528   1683284      0.43   1472016  48698548   4221436      1.05  21797100  28929352       184    584188   2438796      9664      6072    274388
02:31:33 PM 340557944 390131944   1689868      0.43   1472016  48699816   4221436      1.05  21797136  28930636      1128    584232   2438904      9664      6076    274308
02:31:38 PM 340558024 390133492   1688452      0.43   1472016  48701244   4221436      1.05  21797140  28932080       564    584276   2438812      9680      6112    274292
02:31:43 PM 340553528 390130172   1691660      0.43   1472016  48702344   4262188      1.06  21797136  28933140        28    583700   2439000      9760      6016    274372
02:31:48 PM 340552064 390129980   1691908      0.43   1472016  48703540   4221436      1.05  21797180  28934380        24    584340   2439020      9648      6076    274372
02:31:53 PM 340550872 390130372   1691472      0.43   1472016  48705036   4221568      1.05  21797180  28935908       324    584336   2439152      9664      6064    274356
02:31:58 PM 340545176 390126120   1695744      0.43   1472016  48706392   4221568      1.05  21797216  28937252      1384    584340   2439220      9664      6068    274340
02:32:03 PM 340545264 390127528   1694360      0.43   1472016  48707656   4221568      1.05  21797220  28938540       268    584372   2439252      9664      6076    274372
02:32:08 PM 340540752 390124404   1697720      0.43   1472016  48708940   4221568      1.05  21797256  28939812       752    584396   2439120      9664      6064    274372
02:32:13 PM 340542248 390127224   1694908      0.43   1472020  48710152   4221568      1.05  21797260  28941068       256    584424   2439220      9664      6064    274356
02:32:18 PM 340540940 390127188   1694976      0.43   1472020  48711500   4221700      1.05  21797300  28942344      1380    584448   2439112      9680      6068    274356
02:32:23 PM 340541460 390129048   1693368      0.43   1472024  48712716   4221700      1.05  21797300  28943392       264    584240   2438980      9664      6068    274308
02:32:28 PM 340541832 390130812   1691312      0.43   1472024  48714084   4221700      1.05  21797308  28944740       712    584272   2439296      9664      6068    274324
02:32:33 PM 340541636 390132304   1689976      0.43   1472024  48715656   4221700      1.05  21797344  28946396       240    584324   2439256      9664      6072    274340
02:32:38 PM 340535200 390127124   1695184      0.43   1472024  48716872   4221700      1.05  21797348  28947572      1332    584368   2439268      9664      6072    274340
02:32:43 PM 340533300 390126740   1695680      0.43   1472024  48718280   4226104      1.05  21797388  28950876       256    586308   2439264      9696      6172    274332
02:32:48 PM 340538256 390132776   1689456      0.43   1472028  48719500   4221832      1.05  21797384  28950268       892    584492   2439308      9664      6064    274356
02:32:53 PM 340536872 390132916   1689372      0.43   1472028  48720884   4221832      1.05  21797428  28951732       256    584532   2439392      9648      6072    274340
02:32:58 PM 340533428 390130844   1691584      0.43   1472028  48722192   4221832      1.05  21797428  28953104      1148    584620   2439316      9664      6072    274308
02:33:03 PM 340441812 390040676   1781044      0.45   1472028  48723592  27567088      6.84  21797800  29086224       876    716888   2440072      9792      9636    274356
02:33:08 PM 340483068 390082800   1738976      0.44   1472028  48724424  18243988      4.52  21797932  29037004       784    666908   2440052      9792      8316    274420
02:33:13 PM 340446128 390046412   1775028      0.45   1472028  48724964  27562872      6.84  21798344  29090052       852    719772   2440400      9808      9608    274388
02:33:18 PM 340436900 390037840   1783524      0.45   1472032  48725632  27561956      6.84  21798460  29090576      1988    719932   2440460      9808      9624    274468
02:33:23 PM 340445044 390046788   1774604      0.45   1472040  48726424  27572672      6.84  21798580  29091152       800    719648   2440436      9808      9620    274468
02:33:28 PM 340440932 390043404   1778020      0.45   1472040  48727164  27568144      6.84  21798680  29091568      1024    719092   2440392     10000      9656    274452
02:33:33 PM 340472700 390075972   1745456      0.44   1472040  48727952  23871196      5.92  21798760  29059316      1092    686512   2440400      9824      8848    274452
02:33:38 PM 340484760 390088812   1732720      0.44   1472044  48728696  21051580      5.22  21798820  29044976       884    671608   2440328      9808      8888    274452
02:33:43 PM 340445628 390050252   1771532      0.45   1472044  48729380  27577332      6.84  21798932  29093704      2212    719128   2439964      9824      9612    274516
02:33:48 PM 340441880 390047276   1774056      0.45   1472044  48730092  27573396      6.84  21799044  29095140      1136    720460   2440476      9824      9584    274516
02:33:53 PM 340467232 390073232   1747972      0.44   1472044  48730724  24760036      6.14  21799132  29076180      1328    701032   2440576      9840      9364    274452
02:33:58 PM 340467044 390073744   1747840      0.44   1472044  48731428  24753136      6.14  21799220  29077012       900    700776   2440192      9840      9244    274484
02:34:03 PM 340437920 390045520   1775848      0.45   1472044  48732332  27573096      6.84  21799320  29096724      1652    720020   2440404      9840      9580    274452
02:34:08 PM 340454688 390062972   1758748      0.45   1472044  48733020  24755628      6.14  21799408  29087044       924    709908   2440048      9840      9436    274420
02:34:13 PM 340476128 390085400   1736352      0.44   1472044  48733992  21067988      5.22  21799508  29059152      1792    680984   2440032      9872      8788    274460
02:34:18 PM 340435652 390045628   1776052      0.45   1472044  48734704  27562424      6.84  21799612  29098788      1036    720028   2440096      9840      9588    274452
02:34:23 PM 340503744 390114912   1706852      0.43   1472044  48735892  20168152      5.00  21799672  29038812      1440    658880   2440016      9808      8488    274500
02:34:28 PM 340446696 390058024   1764040      0.45   1472044  48736028  27563656      6.84  21799784  29101456      1020    721576   2439740      9840      9608    274548
02:34:33 PM 340444188 390056488   1765668      0.45   1472044  48736956  27567316      6.84  21799900  29101072      1800    720316   2439692      9840      9620    274500
02:34:38 PM 340496436 390109576   1711984      0.43   1472048  48737800  21061848      5.22  21799968  29052272       616    670760   2440280      9824      8672    274468
02:34:43 PM 340444212 390058200   1763256      0.45   1472048  48738612  27568904      6.84  21800076  29103744      1840    721524   2440420      9840      9676    274516
02:34:48 PM 340444456 390058828   1762568      0.45   1472048  48739000  27564616      6.84  21800140  29106932      1236    724364   2440476      9840      9704    274516
02:34:53 PM 340434880 390049696   1771860      0.45   1472048  48739644  27572244      6.84  21800244  29103016      1620    720108   2440116      9872      9688    274516
02:34:58 PM 340445400 390060744   1760632      0.45   1472056  48740136  24754284      6.14  21800284  29101664       792    718172   2440324      9872      9500    274532
02:35:03 PM 340472972 390089160   1731988      0.44   1472056  48741000  23881068      5.92  21800380  29073020      1444    688836   2440532      9824      9040    274548
02:35:08 PM 340468408 390085508   1735704      0.44   1472056  48741900  23870468      5.92  21800476  29073980       568    688888   2440480      9824      9064    274484
02:35:13 PM 340452452 390069824   1751496      0.44   1472056  48742176  24757016      6.14  21800552  29085412      1016    699760   2440368     10048      9384    274516
02:35:18 PM 340438492 390056660   1764916      0.45   1472056  48742960  27572740      6.84  21800652  29106496      2128    720644   2440124      9840      9628    274500
02:35:23 PM 340435648 390054452   1767176      0.45   1472056  48743608  27566136      6.84  21800668  29114232       700    727684   2440060      9856      9784    274516
02:35:28 PM 340432136 390050860   1770908      0.45   1472056  48743528  27573000      6.84  21800744  29105624      1868    718788   2439920      9856      9604    274484
02:35:33 PM 340431692 390050956   1770800      0.45   1472056  48744064  24748436      6.14  21800768  29106272       476    719436   2439936      9840      9464    274468
02:35:38 PM 340421444 390041408   1780220      0.45   1472056  48744868  27577988      6.84  21800876  29108244      2212    720712   2439960      9856      9608    274436
02:35:43 PM 340419772 390040296   1781068      0.45   1472056  48745456  27573960      6.84  21800976  29108756      1012    720668   2440196      9856      9592    274436
02:35:48 PM 340480620 390102400   1719164      0.44   1472060  48746684  18237460      4.52  21801024  29058996      1588    669612   2440020      9808      8312    274404
02:35:53 PM 340430100 390052040   1769468      0.45   1472060  48746852  27574920      6.84  21801116  29111812      1224    722508   2440068      9840      9636    274452
02:35:58 PM 340504500 390127192   1694076      0.43   1472060  48747620  17554224      4.35  21801144  29029884      1604    639732   2440292      9808      8152    274500
02:36:03 PM 340441920 390064368   1757092      0.44   1472060  48747320  24747536      6.14  21801204  29100156       416    710384   2440156      9840      9228    274452
02:36:08 PM 340514280 390138116   1683084      0.43   1472060  48748688  16471600      4.08  21801264  29020244      1636    629104   2440436      9792      8084    274420
02:36:13 PM 340427904 390051876   1769060      0.45   1472060  48748816  27575200      6.84  21801368  29112912      1084    721944   2440708      9840      9624    274484
02:36:18 PM 340427108 390051888   1768616      0.45   1472060  48749660  27573356      6.84  21801484  29112904      1936    721148   2441104      9856      9596    274500
02:36:23 PM 340531748 390157336   1663080      0.42   1472064  48750476  15796436      3.92  21801496  29003700       268    611012   2441180      9824      8104    274404
02:36:28 PM 340418028 390043952   1777452      0.45   1472064  48750796  27567712      6.84  21801604  29113556      1328    720140   2440208      9840      9620    274532
02:36:33 PM 340429644 390055952   1764936      0.45   1472072  48751144  21933188      5.44  21801700  29108556       240    715452   2440752      9840      9404    274436
02:36:38 PM 340419024 390045348   1775224      0.45   1472072  48751664  24748532      6.14  21801716  29113676      1104    719996   2440564      9872      9548    274500
02:36:43 PM 340431656 390058604   1761720      0.45   1472076  48752280  27563044      6.84  21801812  29116308       884    721756   2440816      9872      9620    274436
02:36:48 PM 340429520 390056940   1763408      0.45   1472076  48752920  27565200      6.84  21801908  29111652      1640    716968   2440624      9872      9520    274548
02:36:53 PM 340447452 390075476   1744904      0.44   1472076  48753532  24753320      6.14  21801960  29099096       860    703948   2440584      9872      9244    274516
02:36:58 PM 340424588 390053552   1767156      0.45   1472076  48754440  27574016      6.84  21802064  29116004      1084    720084   2440288      9888      9584    274580
