Linux 5.15.0-87-generic (gl6) 	01/31/2024 	_x86_64_	(32 CPU)

01:36:43 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:40:33 AM  53696140 389248348   1471548      0.37   4040916 321734948   3143240      0.78 146969380 178965952        68    187392  13915588      8400      4312    330540
01:40:38 AM  53694500 389248528   1471312      0.37   4040916 321736728   3143240      0.78 146969380 178967772        28    187428  13915684      8400      4316    330572
01:40:43 AM  53693312 389248916   1470960      0.37   4040916 321738252   3143240      0.78 146969380 178969332         0    187460  13915700      8400      4312    330572
01:40:48 AM  53691632 389248860   1471028      0.37   4040916 321739796   3143372      0.78 146969380 178970908       160    187488  13915768      8400      4308    330572
01:40:53 AM  53689660 389248660   1471412      0.37   4040916 321741512   3143372      0.78 146969380 178972676        20    187548  13915640      8400      4312    330556
01:40:58 AM  53687952 389248432   1471312      0.37   4040916 321742920   3143372      0.78 146969380 178974104       164    187560  13916040      8400      4312    330572
01:41:03 AM  53687256 389249452   1470316      0.37   4040916 321744580   3143372      0.78 146969380 178975788        40    187596  13916072      8400      4308    330572
01:41:08 AM  53687304 389251236   1468840      0.37   4040916 321746244   3143504      0.78 146969380 178977564        64    187696  13915836      8400      4312    330556
01:41:13 AM  53686372 389251992   1467836      0.37   4040916 321747876   3143504      0.78 146969380 178979220        76    187728  13916140      8400      4312    330556
01:41:18 AM  53685676 389252828   1467072      0.37   4040916 321749336   3143504      0.78 146969380 178980712       180    187752  13916140      8400      4312    330556
01:41:23 AM  53685228 389253924   1465860      0.37   4040916 321750852   3143640      0.78 146969380 178982280         8    187808  13916284      8400      4312    330556
01:41:28 AM  53683556 389253588   1466172      0.37   4040916 321752148   3143640      0.78 146969380 178983596       164    187820  13916348      8400      4312    330572
01:41:33 AM  53681336 389252696   1467200      0.37   4040916 321753420   3143640      0.78 146969380 178984896        28    187844  13916268      8400      4308    330572
01:41:38 AM  53680828 389253860   1466024      0.37   4040916 321755024   3143640      0.78 146969380 178986540        24    187880  13916348      8400      4312    330540
01:41:43 AM  53680620 389255088   1464824      0.37   4040916 321756400   3143640      0.78 146969380 178987940         0    187908  13916380      8400      4308    330540
01:41:48 AM  53695120 389270860   1449040      0.37   4040916 321757636   3143772      0.78 146969380 178989212       172    187940  13916428      8400      4308    330556
01:41:53 AM  53692936 389270168   1449656      0.37   4040916 321759076   3143772      0.78 146969380 178990656        48    187968  13916556      8368      4308    330540
01:41:58 AM  53692224 389270976   1448920      0.37   4040916 321760556   3143772      0.78 146969380 178992180       180    188004  13916524      8384      4312    330524
01:42:03 AM  53690760 389270920   1448968      0.37   4040916 321761908   3143772      0.78 146969380 178993560        56    188040  13916588      8384      4308    330524
01:42:08 AM  53689548 389271104   1448792      0.37   4040916 321763264   3143772      0.78 146969380 178994940        16    188056  13916620      8384      4312    330524
01:42:13 AM  53687632 389270624   1449272      0.37   4040916 321764636   3143904      0.78 146969380 178996340        16    188088  13916684      8384      4312    330524
01:42:18 AM  53687200 389271640   1448120      0.37   4040916 321766012   3143904      0.78 146969380 178997764       172    188116  13916892      8384      4308    330524
01:42:23 AM  53684968 389270876   1448988      0.37   4040916 321767424   3143904      0.78 146969380 178999184        52    188144  13916844      8384      4308    330508
