Timestamp,CPU,CPU MHz
2024-01-22 09:02:16,16,800.0
2024-01-22 09:02:16,17,800.0
2024-01-22 09:02:16,18,800.0
2024-01-22 09:02:16,19,800.0
2024-01-22 09:02:16,20,1561.74
2024-01-22 09:02:16,21,2000.0
2024-01-22 09:02:16,22,800.0
2024-01-22 09:02:16,23,800.0
2024-01-22 09:02:16,24,800.0
2024-01-22 09:02:16,25,800.0
2024-01-22 09:02:16,26,800.0
2024-01-22 09:02:16,27,800.0
2024-01-22 09:02:16,28,3200.0
2024-01-22 09:02:16,29,800.0
2024-01-22 09:02:16,30,800.0
2024-01-22 09:02:16,31,800.0
