timestamp,module,event
2024-01-24T15:30:39,topoaa,start
2024-01-24T15:30:46,topoaa,finish
2024-01-24T15:30:47,rigidbody,start
2024-01-24T15:42:48,rigidbody,finish
2024-01-24T15:42:49,seletop,start
2024-01-24T15:42:49,seletop,finish
2024-01-24T15:42:49,caprieval,start
2024-01-24T15:43:59,caprieval,finish
2024-01-24T15:44:02,flexref,start
2024-01-24T16:01:03,flexref,finish
2024-01-24T16:01:03,caprieval,start
2024-01-24T16:01:47,caprieval,finish
2024-01-24T16:01:48,emref,start
2024-01-24T16:04:30,emref,finish
2024-01-24T16:04:30,caprieval,start
2024-01-24T16:05:14,caprieval,finish
