Linux 5.15.0-91-generic (gl5) 	01/31/2024 	_x86_64_	(32 CPU)

01:12:35 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:12:50 AM       8      0.00      0.00      0.20      0.00      0.00     99.80
01:12:50 AM       9      5.61      0.00      0.60     56.91      0.00     36.87
01:12:50 AM      10      0.00      0.00      0.00      0.00      0.00    100.00
01:12:50 AM      11      0.00      0.00      0.00      0.00      0.00    100.00
01:12:50 AM      12      0.00      0.00      0.00      0.00      0.00    100.00
01:12:50 AM      13      0.00      0.00      0.00      0.00      0.00    100.00
01:12:50 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
01:12:50 AM      15      0.00      0.00      0.00      0.00      0.00    100.00
01:12:50 AM      16      0.00      0.00      0.00      0.00      0.00    100.00
01:12:50 AM      17      0.00      0.00      0.00      0.00      0.00    100.00
01:12:50 AM      18      0.20      0.00      0.60      0.00      0.00     99.20
01:12:50 AM      19      0.00      0.00      0.00      0.00      0.00    100.00
01:12:50 AM      20      0.00      0.00      0.20      0.00      0.00     99.80
01:12:50 AM      21      0.00      0.00      0.00      0.00      0.00    100.00
01:12:50 AM      22      0.00      0.00      0.00      0.00      0.00    100.00
01:12:50 AM      23      0.00      0.00      0.20      0.00      0.00     99.80
01:12:50 AM      24      0.00      0.00      0.00      0.00      0.00    100.00
01:12:50 AM      25      0.00      0.00      0.00      0.00      0.00    100.00
01:12:50 AM      26      0.00      0.00      0.00      0.00      0.00    100.00
01:12:50 AM      27      0.00      0.00      0.00      0.00      0.00    100.00
01:12:50 AM      28      0.00      0.00      0.00      0.00      0.00    100.00
01:12:50 AM      29      0.00      0.00      0.20      0.00      0.00     99.80
01:12:50 AM      30      0.00      0.00      0.00      0.00      0.00    100.00
01:12:50 AM      31      0.00      0.00      0.00      0.00      0.00    100.00

01:12:50 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:12:55 AM     all     10.44      0.00      0.49      5.38      0.00     83.68
01:12:55 AM       0     21.53      0.00      0.60      8.85      0.00     69.01
01:12:55 AM       1     18.07      0.00      0.60      0.00      0.00     81.33
01:12:55 AM       2      1.00      0.00      0.40      8.43      0.00     90.16
01:12:55 AM       3      0.40      0.00      0.20      7.24      0.00     92.15
01:12:55 AM       4      0.80      0.00      1.20      4.40      0.00     93.60
01:12:55 AM       5     28.86      0.00      1.00     11.02      0.00     59.12
