Linux 5.15.0-91-generic (gl5) 	01/31/2024 	_x86_64_	(32 CPU)

01:12:35 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:12:40 AM 305835396 389894388   1816072      0.46   1569260  82260884   4682116      1.16  36478648  47899136       996    575908   3376936     10816      6012    280112
01:12:45 AM 305831140 389892464   1818248      0.46   1569260  82263224   4684844      1.16  36478972  47902912       344    577780   3376676     10640      5988    280064
01:12:50 AM 305827884 389890544   1820300      0.46   1569260  82264516   4683344      1.16  36479388  47902536       292    576480   3376588     10592      5872    280016
01:12:55 AM 305827640 389893460   1814376      0.46   1569260  82267680  28778028      7.14  36480856  47961952       524    634164   3379592      9888     10592    279256
01:13:00 AM 305857452 389922660   1787204      0.45   1569260  82267036   4206372      1.04  36480932  47902168       440    575116   3377596      9600      5724    279096
01:13:05 AM 305873380 389940032   1770016      0.45   1569260  82268448   4206372      1.04  36480936  47903612      1528    575124   3377444      9600      5728    279112
01:13:10 AM 305874932 389942668   1767384      0.45   1569260  82269496   4210644      1.04  36480940  47906812       496    577348   3377476      9616      5852    279104
01:13:15 AM 305867232 389935972   1774168      0.45   1569260  82270484   4210644      1.04  36480980  47907708      1644    577352   3377404      9616      5848    279088
01:13:20 AM 305866812 389936632   1773444      0.45   1569260  82271500   4206372      1.04  36480976  47906596       568    575120   3377532      9600      5724    279064
01:13:25 AM 305864832 389935792   1774504      0.45   1569260  82272472   4210644      1.04  36480984  47909736      1568    577348   3377480      9616      5840    279088
01:13:30 AM 305864564 389936424   1773816      0.45   1569260  82273392   4206372      1.04  36481016  47908400       480    575120   3377516      9584      5732    279048
01:13:35 AM 305863020 389936152   1774248      0.45   1569260  82274484   4210644      1.04  36481020  47911696      1536    577344   3377536      9616      5836    279072
01:13:40 AM 305862272 389936420   1773924      0.45   1569260  82275476   4206372      1.04  36481016  47910448       280    575016   3377616      9584      5692    279016
01:13:45 AM 305860840 389936160   1773928      0.45   1569260  82276508   4210644      1.04  36481060  47913752      1584    577352   3378012      9616      5840    279152
01:13:50 AM 305845256 389921376   1788652      0.45   1569260  82277284   4210592      1.04  36481060  47914448       400    577340   3378096      9600      5832    279120
01:13:55 AM 305837628 389914928   1795100      0.45   1569260  82278304   4210592      1.04  36481064  47915508      1520    577340   3378256      9600      5848    279056
01:14:00 AM 305840812 389919104   1790972      0.45   1569260  82279264   4206372      1.04  36481096  47914292       376    575132   3378240      9568      5728    279032
01:14:05 AM 305832828 389912112   1798368      0.46   1569260  82280136   4206372      1.04  36481092  47915156      1292    575148   3377956      9584      5760    279016
01:14:10 AM 305834636 389914832   1795612      0.45   1569260  82281020   4223092      1.05  36481116  47924424       564    583664   3378020      9696      6176    279112
01:14:15 AM 305829084 389910088   1800584      0.46   1569260  82281784   4206372      1.04  36481128  47917844      1264    575712   3377836     10032      5740    279048
01:14:20 AM 305844984 389926836   1783880      0.45   1569260  82282624   4206372      1.04  36481136  47917584       192    575136   3377800      9568      5724    279016
01:14:25 AM 305846800 389929472   1781000      0.45   1569260  82283400   4206372      1.04  36481136  47918640      1256    575384   3378088      9568      5724    279080
01:14:30 AM 305847012 389930388   1780068      0.45   1569260  82284084   4206372      1.04  36481140  47919292       176    575384   3378124      9568      5728    279016
01:14:35 AM 305846588 389930812   1779684      0.45   1569260  82284876   4205588      1.04  36481168  47919864       276    575136   3378140      9536      5656    279000
01:14:40 AM 305851216 389936272   1774440      0.45   1569260  82285692   4210644      1.04  36481188  47923092        24    577608   3377940      9600      5836    279120
01:14:45 AM 305851340 389937372   1773432      0.45   1569260  82286628   4206372      1.04  36481180  47921808       408    575384   3377888      9568      5728    279064
01:14:50 AM 305845652 389932744   1778076      0.45   1569260  82287688   4210276      1.04  36481188  47924568      1684    577248   3377872      9600      5844    279104
01:14:55 AM 305846028 389933892   1776956      0.45   1569260  82288396   4210592      1.04  36481220  47925664       524    577524   3377908      9616      5848    279120
01:15:00 AM 305852976 389941428   1769304      0.45   1569260  82289064   4210276      1.04  36481224  47926032      1592    577300   3377944      9616      5848    279104
01:15:05 AM 305851632 389941092   1769748      0.45   1569260  82290016   4214916      1.05  36481232  47929576       636    579896   3377892      9648      5980    279128
01:15:10 AM 305848748 389939076   1771964      0.45   1569260  82290932   4206372      1.04  36481260  47926068      1484    575456   3377644      9600      5736    279080
01:15:15 AM 305848880 389940020   1771012      0.45   1569260  82291700   4206372      1.04  36481260  47926892       296    575476   3377696      9600      5732    279096
01:15:20 AM 305849768 389941684   1769352      0.45   1569260  82292492   4210464      1.04  36481264  47929748      1408    577644   3377676      9632      5860    279072
01:15:25 AM 305841832 389934608   1776488      0.45   1569260  82293308   4210776      1.04  36481268  47931128       464    578136   3377660      9664      5956    279136
01:15:30 AM 305838620 389932196   1779024      0.45   1569260  82294088   4214680      1.05  36481304  47933240      1400    579640   3377556      9664      5976    279112
01:15:35 AM 305839088 389933616   1777768      0.45   1569260  82294996   4210776      1.04  36481308  47932776       468    578180   3377436      9664      5948    279072
01:15:40 AM 305841672 389937228   1773920      0.45   1569260  82295988   4214996      1.05  36481312  47935600      1432    580028   3377708      9680      5976    279208
01:15:45 AM 305605876 389702124   1999160      0.51   1569260  82296644  80552680     19.98  36481640  48199320       596    843500   3387608     10304     19428    279664
01:15:50 AM 304843892 388945068   2756032      0.70   1569260  82301544 190991360     47.36  36483572  48994020      4292   1635884   3387820     10704     34652    280056
01:15:55 AM 304825084 388928404   2772740      0.70   1569260  82303676 191004532     47.37  36483596  48999832      5424   1639684   3387788     10672     34656    280032
01:16:00 AM 305068228 389176572   2524204      0.64   1569260  82308872 148348816     36.79  36483700  48716356      6904   1350516   3387984     10624     29636    279928
01:16:05 AM 305537932 389647992   2053252      0.52   1569260  82310556  79832880     19.80  36483704  48180400       360    812976   3387548     10320     19372    279736
01:16:10 AM 304808068 388916132   2784356      0.71   1569260  82308508 187321712     46.45  36484436  48988416      4712   1623612   3388356     10848     34192    279944
01:16:15 AM 304758300 388869008   2831920      0.72   1569260  82311136 190989364     47.36  36484576  49028868      6808   1661608   3387932     10704     34640    279904
01:16:20 AM 305149756 389266528   2434832      0.62   1569260  82317168 127924944     31.72  36484776  48608256      4404   1235060   3387532     10528     26908    279776
01:16:25 AM 305038936 389154092   2547496      0.65   1569260  82315356 122689652     30.43  36485084  48743828      4172   1373272   3387500     10704     29692    279872
01:16:30 AM 304812596 388931268   2770272      0.70   1569260  82318756 183583848     45.53  36485616  48968252      5672   1594316   3387664     10704     33420    279968
