timestamp,module,event
2024-01-23T12:36:06,topoaa,start
2024-01-23T12:36:12,topoaa,finish
2024-01-23T12:36:14,rigidbody,start
2024-01-23T20:04:07,rigidbody,finish
2024-01-23T20:04:09,caprieval,start
2024-01-23T20:36:53,caprieval,finish
2024-01-23T20:36:56,seletop,start
2024-01-23T20:36:59,seletop,finish
2024-01-23T20:37:02,caprieval,start
2024-01-23T20:38:43,caprieval,finish
2024-01-23T20:38:45,flexref,start
2024-01-23T23:14:28,flexref,finish
2024-01-23T23:14:29,caprieval,start
2024-01-23T23:16:14,caprieval,finish
2024-01-23T23:16:17,emref,start
2024-01-23T23:30:44,emref,finish
2024-01-23T23:30:44,caprieval,start
2024-01-23T23:32:36,caprieval,finish
2024-01-23T23:32:37,clustfcc,start
2024-01-23T23:33:02,clustfcc,finish
2024-01-23T23:33:02,seletopclusts,start
2024-01-23T23:33:51,seletopclusts,finish
2024-01-23T23:33:52,caprieval,start
2024-01-23T23:35:42,caprieval,finish
