Linux 5.15.0-91-generic (gl5) 	01/24/2024 	_x86_64_	(32 CPU)

07:08:00 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
07:08:05 PM 339346416 390140012   1676912      0.42   1475472  49884732   4661940      1.16  22129376  29776196         0    573960   2475016     10560      6044    275752
07:08:10 PM 339298520 390094108   1722180      0.44   1475472  49886672  10228496      2.54  22129504  29842860       312    638572   2475704      9904      7284    274904
07:08:15 PM 339341660 390138136   1677896      0.42   1475472  49887580   4189148      1.04  22129712  29779044         0    573996   2475940      9616      5992    274856
07:08:20 PM 339342260 390140008   1675944      0.42   1475472  49888804   4190300      1.04  22129872  29780792       420    574664   2476068      9616      6004    274840
07:08:25 PM 339341344 390140508   1675540      0.42   1475472  49890164   4194572      1.04  22129868  29784264      1324    576804   2476028      9664      6112    274896
07:08:30 PM 339341652 390141964   1674140      0.42   1475472  49891240   4190300      1.04  22129872  29783256       460    574704   2476044      9648      6016    274840
07:08:35 PM 339341404 390143172   1673024      0.42   1475472  49892624   4190300      1.04  22129872  29784600      1316    574676   2476024      9616      5992    274872
07:08:40 PM 339340684 390143924   1672312      0.42   1475472  49894000   4190300      1.04  22129872  29786040       312    574696   2476080      9632      6028    274856
07:08:45 PM 339331712 390136636   1679748      0.43   1475472  49895576   4190300      1.04  22129872  29787524       484    574604   2476040      9664      6032    274872
07:08:50 PM 339330364 390136964   1679344      0.43   1475472  49897156   4190300      1.04  22129876  29789164       260    574696   2476212      9632      6024    274840
07:08:55 PM 339324384 390132408   1683924      0.43   1475472  49898520   4190300      1.04  22129876  29790492      1348    574672   2476248      9600      5988    274840
07:09:00 PM 339324884 390134244   1682104      0.43   1475472  49899732   4190300      1.04  22129880  29791760       228    574716   2476356      9600      5996    274824
07:09:05 PM 339317800 390128632   1687988      0.43   1475472  49901112   4190300      1.04  22129880  29793068      1216    574704   2476176      9584      5956    274792
07:09:10 PM 339318444 390130812   1686120      0.43   1475480  49902500   4190300      1.04  22129884  29794656       216    574876   2476004      9632      6068    274824
