Timestamp,CPU,CPU MHz
2024-01-26T02:11:37,0,800.0
2024-01-26T02:11:37,1,800.0
2024-01-26T02:11:37,2,1900.0
2024-01-26T02:11:37,3,832.404
2024-01-26T02:11:37,4,800.0
2024-01-26T02:11:37,5,800.0
2024-01-26T02:11:37,6,2100.0
2024-01-26T02:11:37,7,800.0
2024-01-26T02:11:37,8,800.0
2024-01-26T02:11:37,9,800.0
2024-01-26T02:11:37,10,800.0
2024-01-26T02:11:37,11,800.0
2024-01-26T02:11:37,12,800.0
2024-01-26T02:11:37,13,800.0
2024-01-26T02:11:37,14,800.0
2024-01-26T02:11:37,15,800.0
2024-01-26T02:11:37,16,1700.0
2024-01-26T02:11:37,17,800.0
2024-01-26T02:11:37,18,800.0
2024-01-26T02:11:37,19,800.0
2024-01-26T02:11:37,20,800.0
2024-01-26T02:11:37,21,2000.0
2024-01-26T02:11:37,22,800.0
2024-01-26T02:11:37,23,1760.203
2024-01-26T02:11:37,24,800.0
2024-01-26T02:11:37,25,800.0
2024-01-26T02:11:37,26,800.0
2024-01-26T02:11:37,27,800.0
2024-01-26T02:11:37,28,800.0
2024-01-26T02:11:37,29,800.0
2024-01-26T02:11:37,30,800.0
2024-01-26T02:11:37,31,800.0
2024-01-26T02:11:42,0,800.0
2024-01-26T02:11:42,1,1300.0
2024-01-26T02:11:42,2,1300.0
2024-01-26T02:11:42,3,2000.0
2024-01-26T02:11:42,4,2100.0
2024-01-26T02:11:42,5,800.0
2024-01-26T02:11:42,6,2000.0
2024-01-26T02:11:42,7,2000.0
2024-01-26T02:11:42,8,800.0
2024-01-26T02:11:42,9,3200.002
2024-01-26T02:11:42,10,800.0
2024-01-26T02:11:42,11,800.0
2024-01-26T02:11:42,12,800.0
2024-01-26T02:11:42,13,800.0
2024-01-26T02:11:42,14,800.0
2024-01-26T02:11:42,15,800.0
2024-01-26T02:11:42,16,800.0
2024-01-26T02:11:42,17,800.0
2024-01-26T02:11:42,18,800.0
2024-01-26T02:11:42,19,800.0
2024-01-26T02:11:42,20,2000.0
2024-01-26T02:11:42,21,1541.634
2024-01-26T02:11:42,22,900.0
2024-01-26T02:11:42,23,800.0
2024-01-26T02:11:42,24,800.0
2024-01-26T02:11:42,25,800.0
2024-01-26T02:11:42,26,800.0
2024-01-26T02:11:42,27,800.0
2024-01-26T02:11:42,28,800.0
2024-01-26T02:11:42,29,800.0
2024-01-26T02:11:42,30,800.0
2024-01-26T02:11:42,31,800.0
2024-01-26T02:11:47,0,800.0
2024-01-26T02:11:47,1,800.0
2024-01-26T02:11:47,2,800.0
2024-01-26T02:11:47,3,2100.0
2024-01-26T02:11:47,4,3200.0
2024-01-26T02:11:47,5,2100.0
2024-01-26T02:11:47,6,800.0
2024-01-26T02:11:47,7,2000.0
2024-01-26T02:11:47,8,800.0
2024-01-26T02:11:47,9,800.0
2024-01-26T02:11:47,10,800.0
2024-01-26T02:11:47,11,800.0
2024-01-26T02:11:47,12,800.0
2024-01-26T02:11:47,13,800.0
2024-01-26T02:11:47,14,800.0
2024-01-26T02:11:47,15,800.0
2024-01-26T02:11:47,16,800.0
2024-01-26T02:11:47,17,800.0
2024-01-26T02:11:47,18,2100.0
2024-01-26T02:11:47,19,800.0
2024-01-26T02:11:47,20,2100.0
2024-01-26T02:11:47,21,1500.0
2024-01-26T02:11:47,22,1286.215
2024-01-26T02:11:47,23,800.0
2024-01-26T02:11:47,24,800.0
2024-01-26T02:11:47,25,800.0
2024-01-26T02:11:47,26,800.0
2024-01-26T02:11:47,27,800.0
2024-01-26T02:11:47,28,800.0
2024-01-26T02:11:47,29,800.0
2024-01-26T02:11:47,30,800.0
2024-01-26T02:11:47,31,800.0
2024-01-26T02:11:52,0,800.0
2024-01-26T02:11:52,1,800.0
2024-01-26T02:11:52,2,800.0
2024-01-26T02:11:52,3,2000.0
2024-01-26T02:11:52,4,800.0
2024-01-26T02:11:52,5,800.0
2024-01-26T02:11:52,6,800.0
2024-01-26T02:11:52,7,800.0
2024-01-26T02:11:52,8,800.0
