Linux 5.15.30-2-pve (superserver2) 	01/31/2024 	_x86_64_	(32 CPU)

07:25:03 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
07:28:53 AM 307547500 389058364   2555164      0.65    858408  80668040   6624160      1.64  54705536  27695604       244   1040728   3244672      9648     10136    863180
07:28:58 AM 307544520 389057636   2556216      0.65    858408  80670204   6624292      1.64  54705536  27697880       236   1040888   3244436      9712     10144    863164
07:29:03 AM 307546368 389061344   2552836      0.65    858408  80671972   6621756      1.64  54705532  27698536        60   1039676   3244200      9616     10020    863156
07:29:08 AM 307543896 389061428   2552260      0.65    858408  80674364   6624292      1.64  54705532  27702160       188   1040992   3244856      9712     10140    863196
07:29:13 AM 307545460 389065124   2548820      0.65    858408  80676380   6624424      1.64  54705532  27704308       184   1041156   3244716      9776     10160    863180
07:29:18 AM 307544800 389066804   2547592      0.65    858408  80678544   6624424      1.64  54705536  27706408       280   1041060   3244440      9728     10160    863164
07:29:23 AM 307544716 389069068   2544924      0.64    858408  80680756   6636504      1.65  54705532  27711784       156   1044188   3244980      9760     10104    863164
07:29:28 AM 307543084 389069732   2544516      0.64    858408  80682920   6624556      1.64  54705540  27710884        68   1041160   3244856      9696     10152    863180
07:29:33 AM 307545840 389074416   2539804      0.64    858408  80684748   6624556      1.64  54705532  27712748       264   1041192   3244984      9712     10148    863196
07:29:38 AM 307545116 389075852   2538584      0.64    858408  80686764   6623288      1.64  54705532  27714148       288   1040540   3244912      9696     10028    863172
07:29:43 AM 307545160 389078276   2536212      0.64    858408  80689044   6624700      1.64  54705532  27717188        68   1041232   3244960      9728     10140    863196
07:29:48 AM 307544016 389079396   2535156      0.64    858408  80691144   6624700      1.64  54705536  27719336        68   1041344   3245060      9760     10208    863164
07:29:53 AM 307542044 389079772   2534276      0.64    858408  80693336   6624700      1.64  54705528  27721520        60   1041368   3245720      9760     10136    863180
