Linux 5.15.30-2-pve (superserver2) 	01/31/2024 	_x86_64_	(32 CPU)

02:08:32 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
02:12:22 AM 311415152 388202020   3422088      0.87    858372  76049508 170788832     42.35  50908476  27812852      5632   1980172   3128664     10688     35616    863344
02:12:27 AM 311326068 388116488   3507900      0.89    858372  76052892 178195948     44.19  50908936  27873016      6140   2037360   3128552     10800     36372    863512
02:12:32 AM 311301488 388095192   3529160      0.89    858372  76056012 187592044     46.52  50909388  27924072      6100   2084320   3128752     10784     37556    863456
02:12:37 AM 311425164 388221556   3402388      0.86    858372  76058784 164242132     40.73  50909668  27783848      4980   1942992   3129076     10704     34524    863408
02:12:42 AM 311304516 388103572   3520752      0.89    858372  76061412 181868688     45.10  50910220  27904260      4880   2060508   3128732     10768     36308    863456
02:12:47 AM 311340484 388143636   3480752      0.88    858372  76065460 171674028     42.57  50910528  27846232      5004   1999380   3128716     10720     34864    863520
02:12:52 AM 311601872 388409468   3214520      0.81    858372  76069932 137488188     34.09  50910852  27566504      4552   1714936   3129088     10608     31268    863392
02:12:57 AM 311540592 388348892   3275680      0.83    858372  76070560 132576416     32.88  50911144  27620408      2644   1768564   3128580     10640     30436    863360
02:13:02 AM 311252728 388064360   3560576      0.90    858372  76073764 183835500     45.59  50911728  27912444      5556   2057800   3128344     10784     36980    863344
02:13:07 AM 311264708 388078884   3546116      0.90    858372  76076452 183795372     45.58  50912060  27912224      6372   2055684   3128136     10768     37448    863296
02:13:12 AM 311484960 388302288   3321152      0.84    858372  76079628 146656240     36.37  50912352  27666368      4632   1807292   3129672     10672     32036    863344
02:13:17 AM 311315028 388134608   3488824      0.88    858372  76081880 166908600     41.39  50912824  27867072      4596   2005788   3129680     10736     34276    863360
02:13:22 AM 311245608 388068940   3554532      0.90    858372  76085640 179062844     44.40  50913260  27920612      5932   2056144   3129632     10736     36828    863424
02:13:27 AM 311360416 388187360   3436668      0.87    858372  76089192 158608904     39.33  50913644  27815780      4752   1948636   3129136     10752     34336    863352
02:13:32 AM 311433084 388262852   3359776      0.85    858372  76091988 158866512     39.40  50914036  27716792      4192   1847512   3130564     10704     33124    863328
02:13:37 AM 311334604 388167840   3455372      0.88    858372  76095352 167964524     41.65  50914492  27828332      5108   1955268   3130084     10720     34876    863376
02:13:42 AM 311251368 388087448   3536320      0.90    858372  76098100 174487788     43.27  50914908  27888468      6212   2013396   3129624     10768     36720    863328
02:13:47 AM 311410432 388250668   3372984      0.85    858372  76102140 153155420     37.98  50915264  27747888      4368   1869088   3129856     10640     33272    863344
02:13:52 AM 311412912 388255040   3368352      0.85    858372  76104000 158832172     39.39  50915620  27752568      5096   1872732   3130148     10688     33680    863336
02:13:57 AM 311250888 388096172   3526380      0.89    858372  76107116 180975376     44.88  50916184  27934496      5484   2051780   3131028     10736     36388    863408
02:14:02 AM 311227732 388075400   3548120      0.90    858372  76109264 178178980     44.18  50916468  27941564      5856   2056616   3130296     10720     36500    863424
02:14:07 AM 311410728 388263056   3360824      0.85    858372  76114020 153159176     37.98  50916804  27745436      4940   1856196   3129840     10656     32944    863424
