Linux 5.15.0-91-generic (gl5) 	01/19/2024 	_x86_64_	(32 CPU)

04:41:29 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
04:45:14 PM 380137812 389368324   2577828      0.65   1235252   9501508 185107744     45.90   4230352   8096032      6084   1618184   1406148     10640     33004    268612
04:45:19 PM 380144024 389377632   2568112      0.65   1235256   9504716 170173628     42.20   4230748   8049644      6416   1569024   1406440     10576     31360    268628
04:45:24 PM 380105684 389342132   2604976      0.66   1235256   9507536 185150412     45.91   4231224   8097684      5108   1614660   1405096     10608     32332    268612
04:45:29 PM 380168380 389409052   2537952      0.64   1235256   9511628 172088260     42.68   4231636   8027652      6300   1540220   1405332     10656     31984    268612
04:45:34 PM 380083752 389327928   2620124      0.66   1235264   9514924 182310464     45.21   4232156   8091240      5744   1602656   1404484     10672     33020    268660
04:45:39 PM 380237948 389485300   2462132      0.62   1235268   9517892 167517604     41.54   4232436   7979460      7360   1487044   1405308     10672     31616    268660
04:45:44 PM 380119788 389369904   2576696      0.65   1235280   9520456 172968736     42.89   4233000   8071940      4764   1578156   1406328     10624     31572    268612
04:45:49 PM 380065868 389320012   2626208      0.67   1235284   9524252 185131564     45.91   4233412   8119960      7020   1623564   1406936     10688     33624    268692
04:45:54 PM 380227904 389486248   2460204      0.62   1235288   9528492 154474836     38.31   4233784   7933860      4472   1432484   1406660     10608     29388    268580
04:45:59 PM 380124364 389385680   2561684      0.65   1235288   9531356 174924396     43.38   4234332   8050264      6284   1546408   1405856     10800     32440    268644
04:46:04 PM 380125656 389390256   2557800      0.65   1235296   9534564 172082440     42.67   4234688   8063580      5824   1556920   1405232     10672     31960    268676
04:46:09 PM 380023632 389291184   2657048      0.67   1235300   9537452 185110164     45.90   4235168   8137988      6156   1628620   1405116     10832     33528    268676
04:46:14 PM 380077484 389348724   2599400      0.66   1235308   9541104 179515888     44.52   4235580   8111624      5940   1599316   1405252     10704     32792    268772
04:46:19 PM 380098080 389372256   2575536      0.65   1235308   9544312 178582172     44.29   4236020   8108904      6448   1593772   1405312     10720     33176    268708
04:46:24 PM 380091004 389368740   2578840      0.65   1235316   9548100 176676256     43.81   4236472   8097976      6316   1579884   1405288     10672     32216    268628
04:46:29 PM 380066268 389346764   2601164      0.66   1235320   9550732 185124792     45.91   4236912   8147832      6348   1627600   1405064     10736     33536    268628
04:46:34 PM 380163704 389448068   2498768      0.63   1235328   9554488 168387220     41.76   4237332   8013520      5872   1489380   1406260     10688     30820    268660
04:46:39 PM 380069540 389357000   2589516      0.66   1235328   9557504 181470536     45.00   4237796   8116900      6024   1589708   1406660     10752     33488    268708
04:46:44 PM 380134024 389425344   2520804      0.64   1235332   9561288 172075812     42.67   4238192   8068112      6632   1538508   1407100     10752     31420    268708
04:46:49 PM 380113996 389408784   2537880      0.64   1235340   9564716 177735160     44.08   4238688   8095392      5756   1562564   1406616     10720     32472    268740
04:46:54 PM 380147004 389445124   2501332      0.63   1235348   9568028 176173492     43.69   4239024   8067476      6820   1531548   1406836     10784     31576    268756
04:46:59 PM 380077304 389378476   2568520      0.65   1235356   9571060 178609744     44.29   4239540   8114664      5992   1576256   1406308     10768     32360    268772
04:47:04 PM 380036916 389341444   2604724      0.66   1235364   9574356 179514980     44.52   4239972   8156224      6448   1614476   1407188     10768     32560    268852
04:47:09 PM 380136364 389444356   2502600      0.63   1235364   9577916 174930900     43.38   4240392   8086376      5280   1542508   1406304     10688     31356    268804
04:47:14 PM 380055848 389367076   2579136      0.65   1235364   9581100 175776436     43.59   4240856   8140488      7036   1593240   1407100     10800     32940    268852
04:47:19 PM 380022412 389336984   2609836      0.66   1235364   9584288 172100976     42.68   4241248   8111956      5528   1560984   1406648     10704     32548    268756
