JobName,power_energy_pkg,power_energy_ram,perf_elapsed
daa-local-nc16_ss2-13.cfg,2214298.1,208009.41,21468.017303523
daa-local-nc32_ss2-12.cfg,1927916.72,166618.12,16990.771595865
