JobName,power_energy_pkg,power_energy_ram,perf_elapsed
daa-local-nc4_gl5-31.cfg,5015200.29,456260.04,65406.942965545
daa-local-nc4_gl5-32.cfg,5001768.76,451293.09,65062.053712153
daa-local-nc4_gl5-33.cfg,5213629.43,469272.01,69104.943565062
daa-local-nc4_gl5-34.cfg,5018646.49,451528.87,65681.039590925
daa-local-nc4_gl5-35.cfg,4976539.42,448293.87,64589.575283892
daa-local-nc4_gl5-38.cfg,920.01,52.64,20.976120571
daa-local-nc8_gl5-32.cfg,3329024.04,271950.45,39501.048189014
daa-local-nc8_gl5-34.cfg,3169560.88,258848.5,36739.178669155
daa-local-nc8_gl5-35.cfg,3201729.73,259832.05,37362.167348236
daa-local-nc8_gl5-36.cfg,3325877.1,271118.26,39645.767501454
daa-local-nc8_gl5-37.cfg,3157246.72,257008.83,36545.08737571
daa-local-nc8_gl5-38.cfg,3170530.78,257857.42,36980.988711053
dpp-local-nc4_gl5-32.cfg,364309.4,31841.21,5696.744117176
dpp-local-nc4_gl5-33.cfg,354533.13,31132.25,5367.249606055
dpp-local-nc4_gl5-34.cfg,350353.39,30966.61,5375.51608075
dpp-local-nc4_gl5-35.cfg,326235.94,30194.46,4520.650641286
dpp-local-nc4_gl5-36.cfg,326774.23,30665.46,4561.422457051
dpp-local-nc4_gl5-37.cfg,330031.53,30825.84,4638.665309518
dpp-local-nc4_gl5-38.cfg,329335.1,30058.75,4576.569358137
dpp-local-nc4_gl5-39.cfg,346339.84,31117.85,5061.067788742
dpp-local-nc8_gl5-31.cfg,212994.49,17456.74,2584.344796151
dpp-local-nc8_gl5-32.cfg,227127.05,18280.64,2970.053899024
dpp-local-nc8_gl5-33.cfg,213468.68,17514.46,2592.694619213
dpp-local-nc8_gl5-34.cfg,224553.31,18377.4,2861.641052036
dpp-local-nc8_gl5-35.cfg,212566.81,17472.58,2569.25203914
dpp-local-nc8_gl5-36.cfg,212922.65,17521.22,2581.903837549
dpp-local-nc8_gl5-37.cfg,212996.0,17568.28,2611.023266486
dpp-local-nc8_gl5-38.cfg,211617.75,17395.84,2559.593216744
dpp-local-nc8_gl5-39.cfg,213673.06,17345.27,2603.196826361
dpp-local-nc16_gl5-31.cfg,153016.02,11365.52,1615.875069954
dpp-local-nc16_gl5-32.cfg,165726.7,12398.56,1940.39644614
dpp-local-nc16_gl5-34.cfg,165035.57,12300.98,1896.246825163
dpp-local-nc32_gl5-31.cfg,137706.26,9846.04,1326.654066419
dpp-local-nc32_gl5-33.cfg,141582.85,10286.11,1394.325462123
dpp-local-nc32_gl5-34.cfg,138026.52,9828.97,1338.568476556
dpp-local-nc32_gl5-35.cfg,137285.63,9789.61,1316.435891269
dpp-local-nc32_gl5-36.cfg,137062.54,9879.64,1311.351840734
dpp-local-nc32_gl5-37.cfg,137386.5,9727.29,1328.362284275
