timestamp,module,event
2024-01-26T08:19:11,topoaa,start
2024-01-26T08:19:17,topoaa,finish
2024-01-26T08:19:18,rigidbody,start
2024-01-26T20:16:36,rigidbody,finish
2024-01-26T20:16:37,caprieval,start
2024-01-26T20:51:08,caprieval,finish
2024-01-26T20:51:10,seletop,start
2024-01-26T20:51:12,seletop,finish
2024-01-26T20:51:14,caprieval,start
2024-01-26T20:52:57,caprieval,finish
2024-01-26T20:52:59,flexref,start
2024-01-27T01:15:18,caprieval,start
2024-01-27T01:15:18,flexref,finish
2024-01-27T01:16:54,caprieval,finish
2024-01-27T01:16:56,emref,start
2024-01-27T01:38:19,emref,finish
2024-01-27T01:38:20,caprieval,start
2024-01-27T01:39:58,caprieval,finish
2024-01-27T01:39:58,clustfcc,start
2024-01-27T01:40:23,clustfcc,finish
2024-01-27T01:40:23,seletopclusts,start
2024-01-27T01:40:52,seletopclusts,finish
2024-01-27T01:40:52,caprieval,start
2024-01-27T01:42:05,caprieval,finish
