Linux 5.15.30-2-pve (superserver2) 	01/27/2024 	_x86_64_	(32 CPU)

06:00:08 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
06:00:13 AM 323246912 389161456   2496324      0.63    857116  65433484   7092036      1.76  42728604  24431780       104   1035944   2839948     10704      9904    862956
06:00:18 AM 323076236 388993324   2663872      0.67    857116  65435968  24730060      6.13  42730408  24624988       776   1228404   2840592      9904     14884    862348
06:00:23 AM 323265004 389183428   2474084      0.63    857116  65437256   6619004      1.64  42731220  24433260        76   1036116   2840324      9648      9848    862140
06:00:28 AM 323267012 389187220   2469668      0.63    857116  65438908   6619004      1.64  42731220  24435092       208   1036256   2841080      9712      9864    862108
06:00:33 AM 323268376 389190340   2466540      0.62    857116  65440564   6619004      1.64  42731284  24437156        40   1036760   2841188      9712     10372    862140
06:00:38 AM 323266668 389190428   2466660      0.62    857116  65442244   6619004      1.64  42731284  24438360       228   1036256   2841096      9712      9864    862124
06:00:43 AM 323265112 389191024   2465600      0.62    857116  65444268   6619004      1.64  42731348  24440372        64   1036364   2841688      9776      9880    862124
06:00:48 AM 323264032 389192076   2464860      0.62    857116  65446264   6619004      1.64  42731412  24442260       104   1036260   2841512      9712      9864    862124
06:00:53 AM 323262792 389193284   2463532      0.62    857116  65448560   6631084      1.64  42731476  24448040        44   1039880   2841784      9728     10120    862124
06:00:58 AM 323260884 389193240   2463724      0.62    857116  65450364   6619004      1.64  42731476  24446292       120   1036260   2841696      9712      9868    862140
06:01:03 AM 323259188 389193152   2463784      0.62    857116  65451876   6619004      1.64  42731540  24447704        68   1036264   2841820      9712      9868    862124
06:01:08 AM 323254536 389191128   2465768      0.62    857116  65454316   6619004      1.64  42731600  24450128       340   1036264   2842048      9712      9868    862124
06:01:13 AM 323253944 389192404   2464312      0.62    857116  65456088   6619004      1.64  42731596  24451844        96   1036284   2842324      9712      9864    862124
06:01:18 AM 323251700 389192224   2464820      0.62    857116  65458052   6619004      1.64  42731668  24453840       180   1036312   2842096      9712      9864    862092
06:01:23 AM 323251008 389193536   2463400      0.62    857116  65459928   6619004      1.64  42731736  24456180        20   1036900   2842332      9744     10380    862108
06:01:28 AM 323249328 389194196   2462928      0.62    857116  65462172   6619004      1.64  42731732  24457984       208   1036400   2842240      9712      9868    862060
06:01:33 AM 323248368 389195096   2461584      0.62    857116  65463940   6619004      1.64  42731796  24459780        36   1036548   2842776      9776      9884    862044
06:01:38 AM 322995144 388944468   2709816      0.69    857116  65466408  53303568     13.22  42732304  24727448      1396   1302532   2845300      9968     17004    862204
06:01:43 AM 323059224 389010248   2643760      0.67    857116  65468100  42200944     10.46  42732412  24641020       380   1213448   2845584      9968     15036    862140
